Farmer_ID,Crop_Type,Quantity_kg,Price_per_kg,Location
F0053,Maize,501,53.62,Kerala
F0054,Sugarcane,1566,51.86,Maharashtra
F0055,Barley,1613,39.34,Karnataka
F0056,Sugarcane,714,46.96,Punjab
F0057,Millets,1396,29.15,Kerala
F0058,Rice,1649,36.2,Karnataka
F0059,Maize,1282,51.97,Punjab
F0060,Cotton,1275,35.67,Karnataka
F0061,Maize,1094,31.1,Telangana
F0062,Barley,719,37.24,Kerala
F0063,Cotton,287,52.27,Punjab
F0064,Rice,1936,30.08,Kerala
F0065,Barley,1221,22.82,Telangana
F0066,Wheat,230,47.04,Maharashtra
F0067,Sugarcane,904,52.17,Telangana
F0068,Rice,1294,19.53,Kerala
F0069,Sugarcane,1035,25.79,Kerala
F0070,Pulses,1085,21.39,Gujarat
F0071,Wheat,282,30.66,Punjab
F0072,Wheat,1082,35.27,Maharashtra
F0073,Rice,463,48.7,Telangana
F0074,Wheat,138,44.3,Punjab
F0075,Cotton,1650,42.94,Tamil Nadu
F0076,Wheat,596,30.86,Punjab
F0077,Sugarcane,1639,52.87,Tamil Nadu
F0078,Sugarcane,1472,36.21,Maharashtra
F0079,Barley,1081,59.06,Telangana
F0080,Sugarcane,1020,43.54,Telangana
F0081,Barley,1520,20.68,Karnataka
F0082,Sugarcane,821,45.43,Kerala
F0083,Cotton,1284,29.63,Andhra Pradesh
F0084,Millets,115,45.88,Gujarat
F0085,Barley,592,18.13,Punjab
F0086,Maize,1549,22.87,Maharashtra
F0087,Pulses,1231,53.51,Andhra Pradesh
F0088,Rice,993,25.22,Punjab
F0089,Sugarcane,1573,52.67,Andhra Pradesh
F0090,Wheat,410,27.57,Maharashtra
F0091,Millets,838,43.93,Telangana
F0092,Sugarcane,1293,46.24,Maharashtra
F0093,Wheat,645,38.07,Punjab
F0094,Pulses,513,28.74,Andhra Pradesh
F0095,Pulses,350,24.57,Kerala
F0096,Pulses,858,16.49,Gujarat
F0097,Wheat,1904,28.68,Gujarat
F0098,Sugarcane,1264,44.39,Kerala
F0099,Pulses,1397,57.22,Kerala
F0100,Cotton,1539,54.2,Telangana
F0101,Barley,1731,49.47,Punjab
F0102,Wheat,1862,50.48,Tamil Nadu
F0103,Wheat,1162,44.92,Maharashtra
F0104,Sugarcane,913,26.71,Gujarat
F0105,Wheat,128,55.82,Kerala
F0106,Wheat,1057,45.18,Maharashtra
F0107,Pulses,576,40.22,Gujarat
F0108,Sugarcane,417,19.99,Kerala
F0109,Pulses,344,35.12,Punjab
F0110,Barley,847,35.72,Gujarat
F0111,Millets,796,53.91,Telangana
F0112,Barley,371,39.6,Tamil Nadu
F0113,Millets,1563,32.12,Tamil Nadu
F0114,Pulses,1871,58.96,Kerala
F0115,Barley,1362,19.98,Gujarat
F0116,Sugarcane,476,34.01,Telangana
F0117,Rice,365,16.89,Karnataka
F0118,Pulses,1025,48.3,Maharashtra
F0119,Millets,1020,56.31,Maharashtra
F0120,Cotton,1482,27.6,Andhra Pradesh
F0121,Millets,439,53.63,Telangana
F0122,Cotton,488,28.15,Gujarat
F0123,Wheat,676,55.98,Punjab
F0124,Barley,1812,48.93,Punjab
F0125,Cotton,102,51.22,Andhra Pradesh
F0126,Millets,1552,15.81,Kerala
F0127,Wheat,1265,58.33,Gujarat
F0128,Rice,475,47.7,Andhra Pradesh
F0129,Sugarcane,1793,28.71,Tamil Nadu
F0130,Sugarcane,423,52.32,Maharashtra
F0131,Sugarcane,245,27.67,Gujarat
F0132,Cotton,392,54.27,Andhra Pradesh
F0133,Rice,1788,20.07,Tamil Nadu
F0134,Cotton,531,46.67,Telangana
F0135,Barley,804,39.33,Andhra Pradesh
F0136,Cotton,1048,19.34,Kerala
F0137,Rice,684,25.89,Kerala
F0138,Rice,498,15.56,Kerala
F0139,Barley,916,36.09,Gujarat
F0140,Rice,1467,28.56,Punjab
F0141,Millets,1063,41.93,Punjab
F0142,Rice,1263,28.38,Maharashtra
F0143,Sugarcane,286,28.5,Andhra Pradesh
F0144,Millets,1928,48.44,Telangana
F0145,Millets,160,17.17,Andhra Pradesh
F0146,Barley,1038,55.63,Maharashtra
F0147,Maize,1503,53.35,Tamil Nadu
F0148,Maize,809,45.05,Maharashtra
F0149,Rice,906,41.69,Kerala
F0150,Millets,1563,55.15,Gujarat
F0151,Maize,1442,23.34,Tamil Nadu
F0152,Maize,1425,18.55,Gujarat
F0153,Rice,1467,25.78,Kerala
F0154,Maize,110,50.76,Karnataka
F0155,Cotton,1185,16.56,Maharashtra
F0156,Wheat,1968,41.23,Maharashtra
F0157,Barley,325,59.79,Telangana
F0158,Wheat,1276,53.51,Andhra Pradesh
F0159,Rice,1834,38.47,Tamil Nadu
F0160,Sugarcane,663,17.86,Punjab
F0161,Barley,871,52.41,Gujarat
F0162,Rice,1694,41.95,Tamil Nadu
F0163,Millets,1707,20.17,Telangana
F0164,Sugarcane,1783,19.22,Telangana
F0165,Wheat,1984,55.93,Gujarat
F0166,Rice,1698,45.11,Punjab
F0167,Millets,1433,52.32,Andhra Pradesh
F0168,Barley,984,54.55,Gujarat
F0169,Barley,1366,40.73,Gujarat
F0170,Pulses,1616,38.29,Kerala
F0171,Millets,1489,34.37,Punjab
F0172,Cotton,1453,29.26,Andhra Pradesh
F0173,Maize,1230,34.56,Maharashtra
F0174,Sugarcane,325,49.82,Kerala
F0175,Millets,924,42.09,Karnataka
F0176,Pulses,317,55.16,Punjab
F0177,Maize,1036,34.95,Andhra Pradesh
F0178,Maize,852,42.32,Telangana
F0179,Rice,605,43.41,Kerala
F0180,Maize,358,41.63,Andhra Pradesh
F0181,Cotton,1897,46.62,Tamil Nadu
F0182,Barley,1640,25.68,Gujarat
F0183,Pulses,1896,38.06,Karnataka
F0184,Maize,153,19.69,Maharashtra
F0185,Rice,1170,32.3,Gujarat
F0186,Cotton,826,36.95,Tamil Nadu
F0187,Wheat,788,44.35,Tamil Nadu
F0188,Barley,1644,57.77,Karnataka
F0189,Barley,1222,42.03,Maharashtra
F0190,Pulses,1143,48.46,Telangana
F0191,Barley,1876,37.78,Kerala
F0192,Maize,1696,43.53,Punjab
F0193,Rice,1613,18.19,Maharashtra
F0194,Barley,518,26.45,Punjab
F0195,Barley,789,31.28,Andhra Pradesh
F0196,Wheat,949,36.26,Tamil Nadu
F0197,Wheat,161,17.05,Andhra Pradesh
F0198,Sugarcane,1268,21.3,Telangana
F0199,Cotton,315,27.46,Andhra Pradesh
F0200,Maize,102,58.72,Maharashtra
F0201,Barley,259,29.91,Andhra Pradesh
F0202,Millets,1862,36.69,Telangana
F0203,Barley,880,23.82,Telangana
F0204,Rice,1243,42.49,Telangana
F0205,Sugarcane,992,27.63,Maharashtra
F0206,Cotton,1212,24.31,Telangana
F0207,Millets,428,38.25,Tamil Nadu
F0208,Sugarcane,679,15.25,Gujarat
F0209,Pulses,1480,15.34,Telangana
F0210,Cotton,1733,24.86,Andhra Pradesh
F0211,Barley,1390,16.65,Kerala
F0212,Barley,1740,19.86,Andhra Pradesh
F0213,Cotton,1051,30.25,Kerala
F0214,Barley,1446,51.12,Andhra Pradesh
F0215,Maize,734,40.74,Maharashtra
F0216,Cotton,1087,38.07,Andhra Pradesh
F0217,Sugarcane,1664,28.21,Maharashtra
F0218,Cotton,1772,56.93,Maharashtra
F0219,Millets,1318,32.87,Telangana
F0220,Barley,1020,18.92,Tamil Nadu
F0221,Maize,837,42.77,Kerala
F0222,Maize,1455,20.12,Telangana
F0223,Pulses,269,30.54,Telangana
F0224,Sugarcane,620,37.83,Gujarat
F0225,Wheat,1586,54.34,Maharashtra
F0226,Wheat,139,37.21,Maharashtra
F0227,Cotton,1660,46.6,Kerala
F0228,Pulses,1384,59.68,Andhra Pradesh
F0229,Rice,1518,20.92,Andhra Pradesh
F0230,Cotton,1054,27.36,Punjab
F0231,Pulses,1349,32.76,Telangana
F0232,Sugarcane,1083,33.98,Punjab
F0233,Sugarcane,1247,33.5,Karnataka
F0234,Sugarcane,1074,55.84,Karnataka
F0235,Sugarcane,137,47.13,Punjab
F0236,Sugarcane,427,42.36,Andhra Pradesh
F0237,Pulses,1374,28.92,Karnataka
F0238,Pulses,1299,52.07,Gujarat
F0239,Maize,1725,57.98,Andhra Pradesh
F0240,Millets,1013,51.95,Maharashtra
F0241,Wheat,553,15.07,Telangana
F0242,Barley,136,43.64,Tamil Nadu
F0243,Sugarcane,1439,17.3,Telangana
F0244,Rice,1811,26.59,Punjab
F0245,Barley,1072,17.68,Andhra Pradesh
F0246,Pulses,895,42.17,Punjab
F0247,Rice,1072,45.9,Gujarat
F0248,Rice,692,20.15,Andhra Pradesh
F0249,Rice,1237,32.27,Telangana
F0250,Maize,1163,35.53,Gujarat
F0251,Pulses,1424,31.61,Gujarat
F0252,Rice,323,20.45,Gujarat
F0253,Sugarcane,417,33.85,Kerala
F0254,Cotton,448,48.8,Andhra Pradesh
F0255,Rice,214,18.2,Karnataka
F0256,Maize,797,18.61,Karnataka
F0257,Barley,1446,30.96,Andhra Pradesh
F0258,Pulses,1691,57.38,Andhra Pradesh
F0259,Millets,1163,45.09,Kerala
F0260,Maize,1989,45.54,Karnataka
F0261,Rice,139,31.29,Andhra Pradesh
F0262,Pulses,1982,41.71,Andhra Pradesh
F0263,Cotton,1872,15.46,Punjab
F0264,Rice,1412,43.62,Kerala
F0265,Maize,1385,56.1,Kerala
F0266,Wheat,315,42.57,Telangana
F0267,Sugarcane,1270,54.32,Kerala
F0268,Millets,435,47.58,Tamil Nadu
F0269,Barley,1291,20.43,Karnataka
F0270,Maize,191,55.61,Telangana
F0271,Pulses,452,17.99,Tamil Nadu
F0272,Millets,670,39.03,Andhra Pradesh
F0273,Millets,1694,21.4,Punjab
F0274,Millets,915,15.53,Punjab
F0275,Rice,1804,33.99,Andhra Pradesh
F0276,Sugarcane,880,28.28,Telangana
F0277,Rice,462,36.87,Kerala
F0278,Pulses,656,40.97,Gujarat
F0279,Rice,1468,16.97,Punjab
F0280,Wheat,1816,20.54,Gujarat
F0281,Sugarcane,1293,40.14,Andhra Pradesh
F0282,Sugarcane,455,30.44,Gujarat
F0283,Pulses,290,47.81,Maharashtra
F0284,Barley,1790,44.35,Telangana
F0285,Wheat,521,53.05,Tamil Nadu
F0286,Maize,799,46.16,Telangana
F0287,Rice,106,34.35,Karnataka
F0288,Cotton,232,45.28,Kerala
F0289,Rice,1870,27.39,Kerala
F0290,Millets,656,28.78,Telangana
F0291,Rice,925,50.5,Andhra Pradesh
F0292,Maize,860,35.09,Andhra Pradesh
F0293,Rice,1154,50.93,Maharashtra
F0294,Wheat,634,52.01,Maharashtra
F0295,Wheat,525,53.59,Kerala
F0296,Sugarcane,1517,56.25,Maharashtra
F0297,Pulses,771,34.39,Punjab
F0298,Barley,462,29.35,Punjab
F0299,Cotton,1560,41.2,Tamil Nadu
F0300,Millets,1793,31.7,Maharashtra
F0301,Rice,1674,42.05,Tamil Nadu
F0302,Rice,181,46.75,Maharashtra
F0303,Maize,455,45.98,Kerala
F0304,Pulses,1381,31.85,Kerala
F0305,Wheat,1841,22.51,Tamil Nadu
F0306,Cotton,688,34.37,Telangana
F0307,Sugarcane,1647,21.42,Kerala
F0308,Wheat,394,55.05,Telangana
F0309,Millets,1347,30.56,Andhra Pradesh
F0310,Pulses,1648,21.95,Punjab
F0311,Millets,1169,16.15,Tamil Nadu
F0312,Barley,1790,44.06,Gujarat
F0313,Sugarcane,1236,43.66,Kerala
F0314,Barley,1356,30.33,Karnataka
F0315,Maize,116,18.23,Andhra Pradesh
F0316,Millets,459,33.43,Telangana
F0317,Maize,1346,29.0,Kerala
F0318,Rice,965,45.47,Tamil Nadu
F0319,Barley,799,42.26,Gujarat
F0320,Pulses,547,31.41,Maharashtra
F0321,Millets,955,24.81,Gujarat
F0322,Cotton,464,59.46,Karnataka
F0323,Sugarcane,774,35.43,Telangana
F0324,Wheat,1107,45.97,Andhra Pradesh
F0325,Pulses,1449,21.32,Gujarat
F0326,Pulses,566,36.85,Tamil Nadu
F0327,Maize,513,16.24,Karnataka
F0328,Barley,1578,37.75,Tamil Nadu
F0329,Millets,685,58.38,Kerala
F0330,Millets,1356,32.29,Maharashtra
F0331,Rice,1347,16.75,Andhra Pradesh
F0332,Rice,1093,16.39,Tamil Nadu
F0333,Sugarcane,1954,32.46,Telangana
F0334,Maize,1535,22.2,Kerala
F0335,Pulses,671,16.05,Kerala
F0336,Millets,434,49.03,Andhra Pradesh
F0337,Cotton,1345,35.63,Kerala
F0338,Maize,136,28.02,Telangana
F0339,Sugarcane,1088,55.5,Tamil Nadu
F0340,Sugarcane,377,20.23,Andhra Pradesh
F0341,Maize,1319,58.02,Punjab
F0342,Sugarcane,1015,29.13,Kerala
F0343,Maize,1987,54.98,Kerala
F0344,Wheat,583,42.13,Telangana
F0345,Maize,1365,52.2,Maharashtra
F0346,Barley,1447,59.28,Maharashtra
F0347,Maize,830,27.98,Gujarat
F0348,Sugarcane,291,58.25,Kerala
F0349,Millets,1140,32.53,Punjab
F0350,Barley,623,32.35,Tamil Nadu
F0351,Sugarcane,1017,30.32,Andhra Pradesh
F0352,Rice,500,39.36,Kerala
F0353,Rice,985,21.94,Karnataka
F0354,Millets,804,39.92,Andhra Pradesh
F0355,Millets,121,39.38,Gujarat
F0356,Barley,573,49.29,Maharashtra
F0357,Wheat,1243,52.51,Punjab
F0358,Millets,309,34.82,Kerala
F0359,Rice,405,28.6,Telangana
F0360,Maize,1393,26.67,Karnataka
F0361,Sugarcane,803,23.76,Kerala
F0362,Rice,786,17.59,Punjab
F0363,Rice,384,30.41,Gujarat
F0364,Wheat,815,27.16,Tamil Nadu
F0365,Barley,1799,58.49,Karnataka
F0366,Barley,862,40.1,Gujarat
F0367,Pulses,1350,30.63,Kerala
F0368,Wheat,1047,41.12,Tamil Nadu
F0369,Maize,480,21.26,Karnataka
F0370,Barley,559,34.98,Tamil Nadu
F0371,Sugarcane,1130,43.18,Tamil Nadu
F0372,Millets,128,37.0,Karnataka
F0373,Wheat,1006,33.08,Karnataka
F0374,Millets,1156,59.72,Tamil Nadu
F0375,Rice,1769,54.61,Gujarat
F0376,Sugarcane,978,43.05,Punjab
F0377,Sugarcane,178,40.62,Maharashtra
F0378,Rice,1046,42.93,Karnataka
F0379,Wheat,558,24.06,Kerala
F0380,Rice,669,32.78,Andhra Pradesh
F0381,Millets,1661,16.78,Telangana
F0382,Pulses,1605,36.4,Tamil Nadu
F0383,Sugarcane,1553,39.44,Tamil Nadu
F0384,Cotton,837,25.25,Telangana
F0385,Cotton,1408,58.38,Maharashtra
F0386,Millets,615,55.93,Telangana
F0387,Maize,1222,47.5,Karnataka
F0388,Barley,496,39.0,Telangana
F0389,Rice,1612,54.15,Tamil Nadu
F0390,Rice,138,20.88,Telangana
F0391,Maize,1394,50.57,Andhra Pradesh
F0392,Maize,986,20.62,Kerala
F0393,Millets,896,50.74,Karnataka
F0394,Millets,256,27.41,Telangana
F0395,Maize,1198,54.47,Tamil Nadu
F0396,Sugarcane,983,57.48,Gujarat
F0397,Millets,1923,21.7,Kerala
F0398,Pulses,1253,35.82,Karnataka
F0399,Millets,1810,59.14,Tamil Nadu
F0400,Rice,1073,36.75,Maharashtra
F0401,Millets,1207,53.86,Andhra Pradesh
F0402,Sugarcane,1145,41.49,Punjab
F0403,Maize,1582,31.89,Maharashtra
F0404,Rice,1662,27.86,Punjab
F0405,Millets,1830,24.15,Andhra Pradesh
F0406,Sugarcane,948,49.28,Telangana
F0407,Pulses,1505,32.39,Karnataka
F0408,Millets,847,38.01,Telangana
F0409,Sugarcane,1563,37.15,Andhra Pradesh
F0410,Pulses,1727,40.98,Andhra Pradesh
F0411,Maize,1088,53.95,Andhra Pradesh
F0412,Millets,120,59.13,Punjab
F0413,Pulses,402,33.34,Kerala
F0414,Rice,968,52.24,Tamil Nadu
F0415,Maize,183,49.4,Karnataka
F0416,Rice,1897,40.81,Telangana
F0417,Cotton,1782,58.02,Telangana
F0418,Wheat,1576,24.02,Maharashtra
F0419,Millets,1510,19.92,Punjab
F0420,Pulses,1630,53.43,Andhra Pradesh
F0421,Wheat,1380,34.76,Gujarat
F0422,Wheat,669,53.11,Andhra Pradesh
F0423,Pulses,1033,55.19,Andhra Pradesh
F0424,Maize,1650,17.81,Gujarat
F0425,Millets,1285,54.76,Telangana
F0426,Cotton,1286,35.17,Maharashtra
F0427,Rice,1955,37.97,Tamil Nadu
F0428,Sugarcane,1108,43.2,Gujarat
F0429,Rice,892,56.69,Punjab
F0430,Sugarcane,891,15.86,Kerala
F0431,Rice,1647,36.46,Karnataka
F0432,Pulses,1909,45.95,Punjab
F0433,Cotton,1394,47.52,Gujarat
F0434,Millets,591,46.16,Tamil Nadu
F0435,Sugarcane,307,21.05,Telangana
F0436,Millets,1662,28.47,Kerala
F0437,Millets,1707,31.14,Kerala
F0438,Millets,1183,51.2,Kerala
F0439,Barley,529,27.54,Andhra Pradesh
F0440,Maize,1084,24.48,Karnataka
F0441,Rice,1780,58.09,Telangana
F0442,Millets,1728,15.4,Telangana
F0443,Rice,1432,59.9,Kerala
F0444,Millets,619,45.46,Telangana
F0445,Sugarcane,690,52.28,Karnataka
F0446,Maize,1150,28.26,Karnataka
F0447,Maize,1809,15.64,Maharashtra
F0448,Pulses,1685,48.2,Gujarat
F0449,Barley,298,52.54,Gujarat
F0450,Pulses,486,48.32,Maharashtra
F0451,Pulses,448,21.43,Tamil Nadu
F0452,Pulses,1059,48.9,Gujarat
F0453,Pulses,792,49.6,Karnataka
F0454,Pulses,1659,44.63,Karnataka
F0455,Cotton,1951,49.48,Gujarat
F0456,Maize,477,53.07,Karnataka
F0457,Pulses,998,42.61,Maharashtra
F0458,Millets,1015,18.99,Kerala
F0459,Maize,1681,36.94,Kerala
F0460,Maize,626,18.49,Telangana
F0461,Wheat,1276,33.34,Punjab
F0462,Cotton,833,33.32,Punjab
F0463,Pulses,305,17.97,Kerala
F0464,Rice,554,30.7,Andhra Pradesh
F0465,Sugarcane,1396,19.99,Maharashtra
F0466,Barley,1359,51.37,Karnataka
F0467,Millets,1975,57.65,Gujarat
F0468,Rice,1863,18.25,Kerala
F0469,Cotton,620,57.98,Maharashtra
F0470,Sugarcane,1801,38.52,Kerala
F0471,Cotton,1116,28.48,Tamil Nadu
F0472,Millets,1055,18.46,Karnataka
F0473,Maize,1954,37.53,Tamil Nadu
F0474,Sugarcane,825,50.75,Karnataka
F0475,Maize,1113,46.82,Maharashtra
F0476,Millets,600,17.26,Telangana
F0477,Rice,216,18.28,Kerala
F0478,Millets,485,33.13,Kerala
F0479,Rice,1467,28.29,Andhra Pradesh
F0480,Sugarcane,683,25.46,Gujarat
F0481,Sugarcane,494,27.65,Tamil Nadu
F0482,Pulses,1187,51.16,Kerala
F0483,Cotton,1840,56.82,Maharashtra
F0484,Pulses,820,33.23,Telangana
F0485,Cotton,171,55.77,Gujarat
F0486,Pulses,1912,29.47,Maharashtra
F0487,Maize,373,36.44,Tamil Nadu
F0488,Sugarcane,1443,25.17,Andhra Pradesh
F0489,Rice,437,43.82,Kerala
F0490,Cotton,1489,59.05,Maharashtra
F0491,Millets,1618,42.16,Gujarat
F0492,Cotton,706,31.1,Karnataka
F0493,Rice,265,44.15,Telangana
F0494,Pulses,1667,20.53,Gujarat
F0495,Cotton,110,54.99,Maharashtra
F0496,Barley,1424,37.64,Telangana
F0497,Maize,828,35.22,Kerala
F0498,Sugarcane,900,41.36,Karnataka
F0499,Rice,201,43.12,Andhra Pradesh
F0500,Sugarcane,1548,18.23,Gujarat
F0501,Barley,1515,45.72,Andhra Pradesh
F0502,Cotton,878,25.89,Karnataka
F0503,Cotton,313,47.13,Telangana
F0504,Millets,1814,52.01,Kerala
F0505,Barley,1211,51.18,Maharashtra
F0506,Rice,1676,39.86,Karnataka
F0507,Millets,500,38.41,Tamil Nadu
F0508,Maize,687,21.43,Telangana
F0509,Millets,988,49.89,Andhra Pradesh
F0510,Wheat,1169,27.21,Gujarat
F0511,Rice,1795,37.35,Karnataka
F0512,Wheat,1586,27.79,Andhra Pradesh
F0513,Barley,691,21.02,Telangana
F0514,Pulses,1433,43.33,Andhra Pradesh
F0515,Wheat,1209,17.44,Karnataka
F0516,Maize,191,48.69,Telangana
F0517,Millets,1783,29.29,Tamil Nadu
F0518,Pulses,772,15.01,Karnataka
F0519,Millets,813,38.0,Maharashtra
F0520,Wheat,1035,17.11,Punjab
F0521,Millets,341,27.43,Kerala
F0522,Barley,1988,46.81,Karnataka
F0523,Pulses,101,17.82,Telangana
F0524,Barley,324,52.77,Gujarat
F0525,Wheat,900,15.17,Kerala
F0526,Barley,1868,26.11,Karnataka
F0527,Maize,688,48.34,Tamil Nadu
F0528,Wheat,215,29.23,Gujarat
F0529,Wheat,1789,19.59,Tamil Nadu
F0530,Wheat,1017,31.21,Maharashtra
F0531,Rice,1226,27.17,Gujarat
F0532,Millets,293,52.92,Andhra Pradesh
F0533,Rice,1289,29.1,Punjab
F0534,Rice,970,50.5,Gujarat
F0535,Maize,189,55.13,Kerala
F0536,Pulses,1809,34.52,Gujarat
F0537,Millets,221,55.95,Telangana
F0538,Barley,242,31.98,Punjab
F0539,Cotton,1093,58.38,Telangana
F0540,Wheat,205,19.02,Andhra Pradesh
F0541,Barley,986,45.92,Gujarat
F0542,Wheat,527,37.22,Tamil Nadu
F0543,Maize,1428,32.44,Tamil Nadu
F0544,Wheat,1995,43.47,Karnataka
F0545,Rice,416,46.67,Maharashtra
F0546,Millets,734,15.2,Kerala
F0547,Cotton,108,22.51,Punjab
F0548,Sugarcane,873,47.09,Maharashtra
F0549,Wheat,1196,44.99,Gujarat
F0550,Barley,1482,58.47,Maharashtra
F0551,Rice,322,49.25,Karnataka
F0552,Sugarcane,1539,57.78,Maharashtra
F0553,Cotton,652,46.61,Punjab
F0554,Sugarcane,1493,28.41,Andhra Pradesh
F0555,Rice,815,19.74,Karnataka
F0556,Millets,1387,50.18,Andhra Pradesh
F0557,Millets,1963,43.99,Gujarat
F0558,Pulses,1813,17.17,Karnataka
F0559,Millets,1983,31.2,Gujarat
F0560,Pulses,1441,58.06,Gujarat
F0561,Sugarcane,1207,37.52,Maharashtra
F0562,Maize,1441,34.47,Andhra Pradesh
F0563,Barley,210,35.6,Gujarat
F0564,Barley,350,24.4,Andhra Pradesh
F0565,Sugarcane,482,31.59,Andhra Pradesh
F0566,Wheat,106,31.64,Karnataka
F0567,Wheat,558,17.36,Telangana
F0568,Millets,1207,49.54,Maharashtra
F0569,Barley,307,33.74,Gujarat
F0570,Barley,999,52.0,Andhra Pradesh
F0571,Pulses,1513,53.27,Kerala
F0572,Maize,1437,24.54,Telangana
F0573,Rice,121,44.58,Gujarat
F0574,Wheat,509,36.25,Kerala
F0575,Barley,994,54.61,Maharashtra
F0576,Pulses,614,24.71,Maharashtra
F0577,Cotton,1250,45.5,Andhra Pradesh
F0578,Pulses,908,42.35,Andhra Pradesh
F0579,Wheat,1823,28.29,Punjab
F0580,Wheat,973,21.15,Punjab
F0581,Pulses,113,44.32,Gujarat
F0582,Rice,1070,48.24,Karnataka
F0583,Sugarcane,1077,29.2,Telangana
F0584,Wheat,1113,44.02,Gujarat
F0585,Pulses,1135,32.78,Telangana
F0586,Barley,186,47.09,Andhra Pradesh
F0587,Pulses,1647,23.96,Maharashtra
F0588,Maize,1008,55.06,Andhra Pradesh
F0589,Sugarcane,1660,27.93,Maharashtra
F0590,Cotton,1424,31.55,Punjab
F0591,Rice,1366,17.61,Gujarat
F0592,Millets,221,20.02,Punjab
F0593,Cotton,1270,38.21,Maharashtra
F0594,Sugarcane,1690,27.04,Andhra Pradesh
F0595,Sugarcane,849,52.6,Punjab
F0596,Sugarcane,1479,15.66,Tamil Nadu
F0597,Cotton,784,32.06,Telangana
F0598,Barley,1856,30.18,Kerala
F0599,Sugarcane,1754,15.87,Maharashtra
F0600,Pulses,408,20.6,Maharashtra
F0601,Cotton,794,33.61,Tamil Nadu
F0602,Millets,387,37.18,Gujarat
F0603,Sugarcane,406,33.19,Gujarat
F0604,Pulses,1935,38.89,Gujarat
F0605,Barley,1717,41.78,Kerala
F0606,Maize,1013,15.45,Karnataka
F0607,Barley,1846,35.88,Tamil Nadu
F0608,Millets,761,58.36,Kerala
F0609,Sugarcane,648,38.36,Punjab
F0610,Millets,1475,45.49,Tamil Nadu
F0611,Cotton,411,29.03,Maharashtra
F0612,Wheat,972,49.83,Telangana
F0613,Sugarcane,1182,49.78,Tamil Nadu
F0614,Wheat,1766,38.46,Karnataka
F0615,Pulses,1023,58.92,Andhra Pradesh
F0616,Maize,1837,20.65,Punjab
F0617,Rice,854,15.76,Kerala
F0618,Millets,134,49.66,Punjab
F0619,Barley,544,51.32,Punjab
F0620,Maize,192,20.41,Tamil Nadu
F0621,Sugarcane,1330,26.95,Tamil Nadu
F0622,Wheat,452,15.79,Karnataka
F0623,Barley,1002,28.2,Telangana
F0624,Wheat,1455,49.79,Tamil Nadu
F0625,Cotton,1940,38.31,Tamil Nadu
F0626,Wheat,961,30.66,Telangana
F0627,Cotton,1848,31.73,Karnataka
F0628,Pulses,258,15.06,Kerala
F0629,Barley,1056,28.49,Punjab
F0630,Barley,123,44.09,Kerala
F0631,Rice,503,58.84,Tamil Nadu
F0632,Sugarcane,904,53.12,Telangana
F0633,Cotton,615,16.06,Tamil Nadu
F0634,Rice,831,55.44,Gujarat
F0635,Wheat,1487,50.24,Andhra Pradesh
