Buyer_ID,Preferred_Crop,Quantity_Needed,Max_Price,Location
B0087,Maize,925,56.25,Punjab
B0088,Wheat,984,64.74,Andhra Pradesh
B0089,Wheat,1151,25.88,Gujarat
B0090,Barley,1001,69.51,Tamil Nadu
B0091,Sugarcane,1485,30.47,Andhra Pradesh
B0092,Wheat,124,20.59,Andhra Pradesh
B0093,Maize,344,69.87,Karnataka
B0094,Sugarcane,70,34.05,Karnataka
B0095,Sugarcane,1244,53.4,Kerala
B0096,Wheat,1088,28.83,Kerala
B0097,Cotton,1284,49.01,Karnataka
B0098,Cotton,609,65.2,Maharashtra
B0099,Pulses,1159,36.01,Maharashtra
B0100,Sugarcane,1222,53.51,Tamil Nadu
B0101,Wheat,421,29.4,Karnataka
B0102,Barley,867,51.24,Telangana
B0103,Cotton,1224,36.82,Kerala
B0104,Barley,1214,30.56,Karnataka
B0105,Wheat,1142,35.66,Maharashtra
B0106,Wheat,1333,28.94,Karnataka
B0107,Millets,895,65.1,Maharashtra
B0108,Sugarcane,570,39.86,Karnataka
B0109,Millets,420,32.26,Gujarat
B0110,Barley,1492,42.42,Telangana
B0111,Millets,150,36.03,Punjab
B0112,Pulses,710,57.22,Tamil Nadu
B0113,Sugarcane,1017,68.56,Gujarat
B0114,Rice,292,41.9,Telangana
B0115,Millets,802,63.05,Maharashtra
B0116,Barley,561,48.29,Kerala
B0117,Cotton,898,27.86,Kerala
B0118,Cotton,604,54.53,Andhra Pradesh
B0119,Cotton,1168,45.67,Telangana
B0120,Maize,275,52.53,Karnataka
B0121,Wheat,263,64.48,Tamil Nadu
B0122,Sugarcane,767,42.02,Karnataka
B0123,Cotton,116,65.06,Karnataka
B0124,Rice,445,57.53,Telangana
B0125,Cotton,661,44.43,Punjab
B0126,Pulses,1085,50.16,Tamil Nadu
B0127,Wheat,1310,36.28,Andhra Pradesh
B0128,Barley,819,69.18,Gujarat
B0129,Wheat,1472,53.37,Karnataka
B0130,Millets,456,22.19,Tamil Nadu
B0131,Barley,974,36.33,Andhra Pradesh
B0132,Barley,696,51.17,Gujarat
B0133,Millets,271,22.82,Karnataka
B0134,Sugarcane,1229,21.19,Tamil Nadu
B0135,Millets,703,42.5,Gujarat
B0136,Maize,477,36.63,Telangana
B0137,Barley,1231,41.91,Punjab
B0138,Barley,1026,33.13,Kerala
B0139,Millets,1489,28.24,Kerala
B0140,Sugarcane,1055,54.46,Karnataka
B0141,Cotton,1399,45.73,Karnataka
B0142,Pulses,420,30.01,Gujarat
B0143,Rice,1417,35.98,Tamil Nadu
B0144,Sugarcane,1335,49.59,Kerala
B0145,Maize,1356,23.61,Karnataka
B0146,Sugarcane,899,27.37,Andhra Pradesh
B0147,Wheat,905,23.66,Karnataka
B0148,Cotton,278,60.62,Kerala
B0149,Cotton,329,57.62,Maharashtra
B0150,Barley,1363,57.67,Punjab
B0151,Cotton,1120,55.82,Kerala
B0152,Cotton,1024,53.47,Andhra Pradesh
B0153,Millets,1287,43.85,Tamil Nadu
B0154,Cotton,807,52.11,Andhra Pradesh
B0155,Cotton,1097,21.92,Maharashtra
B0156,Rice,370,51.07,Maharashtra
B0157,Maize,323,58.89,Karnataka
B0158,Barley,605,45.02,Karnataka
B0159,Millets,893,37.88,Kerala
B0160,Cotton,1386,33.87,Telangana
B0161,Barley,1436,52.14,Punjab
B0162,Maize,717,54.64,Andhra Pradesh
B0163,Millets,1049,63.55,Kerala
B0164,Pulses,429,37.12,Telangana
B0165,Cotton,760,58.49,Kerala
B0166,Barley,795,48.07,Punjab
B0167,Sugarcane,724,64.14,Punjab
B0168,Millets,165,46.39,Maharashtra
B0169,Millets,654,45.88,Karnataka
B0170,Barley,1115,48.89,Karnataka
B0171,Cotton,428,57.47,Punjab
B0172,Wheat,1279,68.23,Kerala
B0173,Rice,515,23.68,Punjab
B0174,Sugarcane,329,22.67,Karnataka
B0175,Sugarcane,667,66.88,Tamil Nadu
B0176,Wheat,167,46.49,Kerala
B0177,Cotton,1310,50.75,Maharashtra
B0178,Millets,358,44.12,Gujarat
B0179,Millets,149,24.68,Kerala
B0180,Rice,310,58.4,Kerala
B0181,Sugarcane,1042,57.36,Karnataka
B0182,Rice,1378,35.59,Maharashtra
B0183,Sugarcane,1427,35.31,Kerala
B0184,Cotton,335,61.89,Karnataka
B0185,Pulses,377,23.62,Punjab
B0186,Sugarcane,1176,64.06,Andhra Pradesh
B0187,Pulses,112,32.83,Maharashtra
B0188,Sugarcane,736,49.65,Telangana
B0189,Millets,1355,66.8,Tamil Nadu
B0190,Maize,1366,53.91,Telangana
B0191,Cotton,787,40.72,Gujarat
B0192,Wheat,1080,54.48,Punjab
B0193,Pulses,688,37.2,Maharashtra
B0194,Wheat,985,33.86,Kerala
B0195,Cotton,1165,69.83,Karnataka
B0196,Barley,1263,57.54,Gujarat
B0197,Wheat,525,52.24,Maharashtra
B0198,Cotton,102,37.76,Tamil Nadu
B0199,Millets,803,22.46,Maharashtra
B0200,Wheat,535,21.55,Gujarat
B0201,Pulses,1437,47.71,Karnataka
B0202,Maize,1185,58.1,Telangana
B0203,Wheat,458,46.87,Andhra Pradesh
B0204,Pulses,1080,62.04,Telangana
B0205,Sugarcane,717,21.67,Karnataka
B0206,Cotton,1270,38.34,Gujarat
B0207,Rice,884,31.85,Karnataka
B0208,Barley,925,42.36,Punjab
B0209,Millets,416,23.62,Tamil Nadu
B0210,Rice,1051,67.71,Maharashtra
B0211,Millets,299,31.16,Punjab
B0212,Cotton,1313,66.12,Maharashtra
B0213,Millets,429,41.29,Telangana
B0214,Maize,921,69.28,Gujarat
B0215,Wheat,884,47.7,Andhra Pradesh
B0216,Maize,824,66.54,Andhra Pradesh
B0217,Rice,968,20.27,Tamil Nadu
B0218,Barley,504,57.41,Karnataka
B0219,Pulses,415,65.15,Tamil Nadu
B0220,Barley,1363,26.99,Maharashtra
B0221,Cotton,452,24.81,Kerala
B0222,Cotton,107,41.23,Kerala
B0223,Maize,570,66.68,Kerala
B0224,Pulses,1377,47.12,Karnataka
B0225,Maize,1188,46.37,Tamil Nadu
B0226,Wheat,259,27.06,Punjab
B0227,Sugarcane,1114,20.04,Gujarat
B0228,Pulses,865,60.51,Telangana
B0229,Sugarcane,222,24.38,Maharashtra
B0230,Barley,283,51.69,Kerala
B0231,Wheat,842,65.73,Gujarat
B0232,Millets,842,30.43,Andhra Pradesh
B0233,Millets,1476,53.26,Punjab
B0234,Sugarcane,1112,23.93,Tamil Nadu
B0235,Rice,168,50.19,Maharashtra
B0236,Barley,384,28.2,Maharashtra
B0237,Sugarcane,1409,56.8,Andhra Pradesh
B0238,Wheat,1147,35.06,Punjab
B0239,Sugarcane,1264,43.17,Andhra Pradesh
B0240,Cotton,373,49.97,Andhra Pradesh
B0241,Maize,1060,28.56,Kerala
B0242,Rice,1220,57.08,Punjab
B0243,Cotton,333,35.13,Kerala
B0244,Cotton,262,53.12,Tamil Nadu
B0245,Wheat,978,27.91,Andhra Pradesh
B0246,Maize,801,54.41,Telangana
B0247,Maize,1467,26.41,Maharashtra
B0248,Pulses,388,41.27,Punjab
B0249,Barley,1095,32.36,Andhra Pradesh
B0250,Rice,154,57.42,Punjab
B0251,Barley,819,33.1,Maharashtra
B0252,Wheat,765,64.09,Karnataka
B0253,Rice,812,64.59,Gujarat
B0254,Pulses,1294,29.82,Karnataka
B0255,Sugarcane,428,50.69,Andhra Pradesh
B0256,Cotton,1295,24.39,Maharashtra
B0257,Rice,1331,39.58,Gujarat
B0258,Barley,762,55.67,Karnataka
B0259,Cotton,1440,52.97,Andhra Pradesh
B0260,Wheat,1422,51.24,Maharashtra
B0261,Barley,274,34.13,Andhra Pradesh
B0262,Sugarcane,787,38.9,Kerala
B0263,Wheat,285,25.15,Maharashtra
B0264,Millets,232,55.95,Karnataka
B0265,Sugarcane,761,45.19,Andhra Pradesh
B0266,Sugarcane,493,55.44,Punjab
B0267,Cotton,672,32.45,Karnataka
B0268,Wheat,1079,36.22,Andhra Pradesh
B0269,Wheat,1309,36.71,Punjab
B0270,Rice,1200,21.29,Punjab
B0271,Barley,1177,37.05,Tamil Nadu
B0272,Millets,798,60.17,Punjab
B0273,Wheat,204,64.86,Karnataka
B0274,Rice,306,45.91,Karnataka
B0275,Millets,284,42.78,Telangana
B0276,Maize,549,21.54,Gujarat
B0277,Maize,338,63.96,Kerala
B0278,Millets,559,20.65,Karnataka
B0279,Maize,758,67.24,Maharashtra
B0280,Pulses,834,44.46,Gujarat
B0281,Wheat,943,37.1,Punjab
B0282,Pulses,825,66.21,Andhra Pradesh
B0283,Barley,347,21.22,Tamil Nadu
B0284,Wheat,186,49.07,Maharashtra
B0285,Rice,425,47.45,Gujarat
B0286,Pulses,136,30.97,Maharashtra
B0287,Pulses,1492,41.44,Maharashtra
B0288,Barley,1272,52.61,Maharashtra
B0289,Pulses,486,56.36,Gujarat
B0290,Sugarcane,1383,20.04,Tamil Nadu
B0291,Rice,1354,66.84,Punjab
B0292,Maize,1396,28.23,Telangana
B0293,Rice,813,31.68,Kerala
B0294,Sugarcane,751,33.17,Punjab
B0295,Barley,991,21.89,Karnataka
B0296,Barley,201,26.15,Gujarat
B0297,Wheat,1375,69.32,Maharashtra
B0298,Rice,1351,35.76,Punjab
B0299,Millets,1081,25.77,Karnataka
B0300,Millets,856,25.35,Gujarat
B0301,Barley,284,55.97,Karnataka
B0302,Pulses,724,62.73,Maharashtra
B0303,Barley,610,32.85,Telangana
B0304,Barley,1375,21.05,Gujarat
B0305,Barley,87,31.15,Karnataka
B0306,Barley,1209,22.83,Andhra Pradesh
B0307,Millets,871,25.17,Karnataka
B0308,Millets,470,41.58,Kerala
B0309,Maize,1292,31.5,Maharashtra
B0310,Maize,397,45.8,Tamil Nadu
B0311,Wheat,1152,32.67,Karnataka
B0312,Barley,797,67.03,Telangana
B0313,Millets,322,65.3,Andhra Pradesh
B0314,Rice,1234,48.34,Andhra Pradesh
B0315,Sugarcane,357,37.72,Tamil Nadu
B0316,Wheat,1447,39.06,Punjab
B0317,Millets,1025,40.59,Kerala
B0318,Rice,782,56.38,Tamil Nadu
B0319,Barley,1082,42.58,Kerala
B0320,Cotton,493,62.84,Karnataka
B0321,Barley,1186,67.2,Maharashtra
B0322,Maize,1278,36.8,Telangana
B0323,Sugarcane,454,48.03,Andhra Pradesh
B0324,Millets,902,24.75,Tamil Nadu
B0325,Millets,1270,30.02,Telangana
B0326,Pulses,827,40.67,Kerala
B0327,Sugarcane,164,30.31,Maharashtra
B0328,Pulses,1194,63.83,Andhra Pradesh
B0329,Sugarcane,114,27.91,Andhra Pradesh
B0330,Maize,1349,42.78,Kerala
B0331,Pulses,874,50.28,Maharashtra
B0332,Rice,288,54.59,Andhra Pradesh
B0333,Pulses,351,39.15,Maharashtra
B0334,Wheat,1465,63.45,Andhra Pradesh
B0335,Rice,1018,48.42,Karnataka
B0336,Wheat,418,41.98,Kerala
B0337,Barley,282,23.36,Maharashtra
B0338,Sugarcane,244,43.23,Telangana
B0339,Rice,956,61.04,Punjab
B0340,Sugarcane,1085,50.73,Karnataka
B0341,Barley,970,61.61,Gujarat
B0342,Cotton,738,44.7,Telangana
B0343,Millets,226,25.92,Kerala
B0344,Sugarcane,266,20.68,Andhra Pradesh
B0345,Barley,1084,35.16,Gujarat
B0346,Sugarcane,679,54.9,Telangana
B0347,Barley,213,59.51,Karnataka
B0348,Wheat,102,34.79,Gujarat
B0349,Barley,267,44.78,Gujarat
B0350,Pulses,1048,41.06,Maharashtra
B0351,Cotton,873,40.53,Tamil Nadu
B0352,Sugarcane,1433,31.57,Telangana
B0353,Barley,434,26.82,Tamil Nadu
B0354,Barley,105,29.83,Kerala
B0355,Sugarcane,167,22.77,Telangana
B0356,Millets,949,29.91,Telangana
B0357,Cotton,1326,20.46,Maharashtra
B0358,Cotton,847,51.36,Andhra Pradesh
B0359,Barley,829,35.82,Karnataka
B0360,Rice,1065,68.66,Karnataka
B0361,Wheat,852,29.69,Karnataka
B0362,Cotton,894,37.29,Punjab
B0363,Cotton,1253,37.89,Kerala
B0364,Maize,1488,20.42,Gujarat
B0365,Pulses,1308,61.96,Andhra Pradesh
B0366,Cotton,904,21.6,Tamil Nadu
B0367,Wheat,757,67.01,Karnataka
B0368,Pulses,1153,64.6,Punjab
B0369,Pulses,71,46.78,Tamil Nadu
B0370,Sugarcane,892,47.18,Andhra Pradesh
B0371,Sugarcane,1166,52.69,Kerala
B0372,Sugarcane,241,39.35,Andhra Pradesh
B0373,Sugarcane,1068,52.36,Maharashtra
B0374,Maize,1176,22.24,Gujarat
B0375,Cotton,445,22.7,Karnataka
B0376,Sugarcane,1080,42.86,Kerala
B0377,Barley,689,47.48,Maharashtra
B0378,Rice,1068,64.39,Karnataka
B0379,Sugarcane,616,25.23,Andhra Pradesh
B0380,Cotton,280,61.13,Andhra Pradesh
B0381,Sugarcane,923,30.5,Punjab
B0382,Maize,623,39.7,Telangana
B0383,Wheat,289,35.83,Telangana
B0384,Wheat,139,40.01,Andhra Pradesh
B0385,Cotton,281,27.52,Andhra Pradesh
B0386,Barley,506,45.18,Tamil Nadu
B0387,Wheat,282,60.08,Punjab
B0388,Millets,403,42.08,Gujarat
B0389,Wheat,1054,44.53,Tamil Nadu
B0390,Rice,1406,62.44,Gujarat
B0391,Cotton,488,55.3,Maharashtra
B0392,Barley,1448,44.52,Telangana
B0393,Cotton,1365,32.88,Telangana
B0394,Wheat,394,64.25,Punjab
B0395,Wheat,713,48.85,Andhra Pradesh
B0396,Wheat,706,31.06,Andhra Pradesh
B0397,Pulses,179,33.46,Maharashtra
B0398,Maize,190,60.16,Kerala
B0399,Sugarcane,464,22.21,Kerala
B0400,Millets,1166,69.6,Punjab
B0401,Maize,675,26.52,Kerala
B0402,Cotton,333,59.8,Telangana
B0403,Millets,272,39.74,Tamil Nadu
B0404,Rice,793,44.61,Kerala
B0405,Sugarcane,512,64.03,Karnataka
B0406,Rice,1349,40.65,Punjab
B0407,Barley,1213,46.87,Maharashtra
B0408,Pulses,406,22.46,Kerala
B0409,Cotton,1096,20.12,Karnataka
B0410,Pulses,1343,32.24,Kerala
B0411,Cotton,908,54.03,Tamil Nadu
B0412,Rice,714,26.06,Tamil Nadu
B0413,Rice,1406,25.69,Kerala
B0414,Rice,1064,40.55,Punjab
B0415,Cotton,134,52.39,Punjab
B0416,Wheat,670,55.6,Karnataka
B0417,Rice,1104,28.92,Maharashtra
B0418,Pulses,289,23.98,Karnataka
B0419,Barley,412,67.02,Maharashtra
B0420,Sugarcane,871,33.03,Kerala
B0421,Cotton,1462,62.67,Maharashtra
B0422,Millets,717,63.17,Andhra Pradesh
B0423,Pulses,1372,58.63,Telangana
B0424,Maize,1444,28.44,Gujarat
B0425,Barley,148,61.09,Telangana
B0426,Maize,96,58.46,Tamil Nadu
B0427,Sugarcane,888,49.84,Andhra Pradesh
B0428,Wheat,471,36.86,Telangana
B0429,Rice,111,33.13,Kerala
B0430,Cotton,1182,26.09,Maharashtra
B0431,Pulses,1192,45.49,Maharashtra
B0432,Millets,1059,49.26,Karnataka
B0433,Rice,647,37.97,Karnataka
B0434,Pulses,1455,43.77,Punjab
B0435,Cotton,441,38.18,Maharashtra
B0436,Maize,1026,52.05,Punjab
B0437,Rice,1125,65.06,Kerala
B0438,Sugarcane,652,28.2,Maharashtra
B0439,Wheat,1362,39.07,Karnataka
B0440,Sugarcane,386,27.04,Telangana
B0441,Wheat,859,51.25,Punjab
B0442,Barley,1277,56.44,Punjab
B0443,Pulses,1311,66.6,Tamil Nadu
B0444,Rice,1455,33.94,Karnataka
B0445,Rice,801,67.51,Kerala
B0446,Barley,1209,23.16,Punjab
B0447,Wheat,1480,50.15,Telangana
B0448,Maize,1435,22.86,Telangana
B0449,Cotton,1454,64.69,Telangana
B0450,Sugarcane,930,46.49,Andhra Pradesh
B0451,Barley,684,53.47,Andhra Pradesh
B0452,Millets,303,61.58,Gujarat
B0453,Millets,1187,27.52,Telangana
B0454,Pulses,69,21.93,Punjab
B0455,Barley,577,63.94,Kerala
B0456,Sugarcane,1218,35.75,Maharashtra
B0457,Sugarcane,1281,26.45,Kerala
B0458,Pulses,425,43.42,Andhra Pradesh
B0459,Pulses,215,49.92,Karnataka
B0460,Rice,1254,21.55,Punjab
B0461,Sugarcane,910,33.74,Gujarat
B0462,Cotton,666,21.64,Andhra Pradesh
B0463,Millets,661,41.02,Maharashtra
B0464,Cotton,1405,64.76,Tamil Nadu
B0465,Wheat,552,69.13,Gujarat
B0466,Barley,962,51.85,Andhra Pradesh
B0467,Pulses,128,28.08,Kerala
B0468,Rice,634,65.29,Gujarat
B0469,Cotton,737,45.81,Punjab
B0470,Maize,445,27.69,Kerala
B0471,Millets,1176,66.09,Telangana
B0472,Rice,451,57.87,Telangana
B0473,Rice,1024,56.59,Telangana
B0474,Cotton,273,55.46,Gujarat
B0475,Maize,567,30.02,Tamil Nadu
B0476,Wheat,683,30.55,Maharashtra
B0477,Cotton,285,54.41,Punjab
B0478,Maize,165,30.99,Gujarat
B0479,Rice,1236,41.93,Karnataka
B0480,Millets,275,59.1,Punjab
B0481,Maize,279,59.2,Kerala
B0482,Rice,231,42.66,Kerala
B0483,Barley,1322,59.61,Gujarat
B0484,Cotton,1391,61.93,Gujarat
B0485,Pulses,259,52.74,Maharashtra
B0486,Cotton,1465,31.42,Tamil Nadu
B0487,Barley,145,33.7,Gujarat
B0488,Sugarcane,943,35.74,Telangana
B0489,Sugarcane,805,25.84,Maharashtra
B0490,Sugarcane,1159,33.66,Karnataka
B0491,Cotton,464,30.48,Telangana
B0492,Wheat,443,42.77,Karnataka
B0493,Cotton,745,65.42,Andhra Pradesh
B0494,Millets,893,25.22,Karnataka
B0495,Barley,653,56.01,Telangana
B0496,Millets,631,54.36,Andhra Pradesh
B0497,Barley,182,24.79,Telangana
B0498,Pulses,840,66.13,Kerala
B0499,Maize,698,48.42,Telangana
B0500,Cotton,1387,38.19,Andhra Pradesh
B0501,Cotton,270,57.83,Karnataka
B0502,Rice,1025,32.87,Kerala
B0503,Barley,1119,54.68,Tamil Nadu
B0504,Rice,1265,21.99,Tamil Nadu
B0505,Rice,1452,61.97,Punjab
B0506,Cotton,837,42.41,Tamil Nadu
B0507,Wheat,740,51.83,Tamil Nadu
B0508,Maize,1407,31.06,Maharashtra
B0509,Maize,88,53.85,Tamil Nadu
B0510,Millets,1366,58.61,Andhra Pradesh
B0511,Barley,739,43.66,Gujarat
B0512,Pulses,211,50.89,Tamil Nadu
B0513,Barley,1404,42.82,Telangana
B0514,Wheat,1177,64.7,Gujarat
B0515,Wheat,210,44.89,Tamil Nadu
B0516,Maize,1127,62.09,Gujarat
B0517,Sugarcane,1107,60.07,Karnataka
B0518,Rice,291,40.53,Andhra Pradesh
B0519,Rice,1016,31.5,Andhra Pradesh
B0520,Maize,939,40.3,Punjab
B0521,Barley,162,61.31,Gujarat
B0522,Wheat,1063,31.38,Punjab
B0523,Barley,367,46.22,Kerala
B0524,Pulses,72,60.3,Maharashtra
B0525,Sugarcane,873,37.67,Telangana
B0526,Maize,1191,52.11,Gujarat
B0527,Rice,750,32.28,Andhra Pradesh
B0528,Cotton,1068,25.46,Punjab
B0529,Barley,1285,59.72,Karnataka
B0530,Wheat,1491,24.95,Tamil Nadu
B0531,Cotton,1186,33.57,Andhra Pradesh
B0532,Pulses,1117,62.76,Karnataka
B0533,Maize,177,37.32,Tamil Nadu
B0534,Barley,925,68.65,Maharashtra
B0535,Rice,207,68.99,Andhra Pradesh
B0536,Barley,876,33.41,Punjab
B0537,Sugarcane,1467,22.05,Andhra Pradesh
B0538,Millets,901,55.25,Gujarat
B0539,Cotton,561,42.55,Gujarat
B0540,Sugarcane,94,25.04,Karnataka
B0541,Pulses,1181,55.38,Punjab
B0542,Rice,268,21.56,Kerala
B0543,Cotton,492,63.51,Gujarat
B0544,Pulses,364,26.93,Telangana
B0545,Sugarcane,226,26.37,Maharashtra
B0546,Sugarcane,277,28.78,Telangana
B0547,Millets,316,68.01,Andhra Pradesh
B0548,Cotton,919,54.66,Telangana
B0549,Rice,887,60.07,Tamil Nadu
B0550,Sugarcane,1452,39.88,Maharashtra
B0551,Maize,538,36.82,Telangana
B0552,Millets,751,31.72,Tamil Nadu
B0553,Pulses,736,44.03,Karnataka
B0554,Cotton,1363,47.59,Telangana
B0555,Wheat,1045,51.59,Maharashtra
B0556,Wheat,406,32.86,Tamil Nadu
B0557,Rice,921,67.43,Telangana
B0558,Maize,253,28.49,Karnataka
B0559,Sugarcane,1286,68.28,Telangana
B0560,Wheat,601,20.74,Tamil Nadu
B0561,Rice,372,44.06,Telangana
B0562,Pulses,643,36.67,Maharashtra
B0563,Millets,230,42.46,Andhra Pradesh
B0564,Maize,548,48.53,Punjab
B0565,Maize,1393,41.78,Punjab
B0566,Barley,132,40.74,Tamil Nadu
B0567,Rice,352,56.64,Tamil Nadu
B0568,Rice,311,54.29,Tamil Nadu
B0569,Barley,833,61.66,Tamil Nadu
B0570,Millets,1273,32.5,Telangana
B0571,Sugarcane,1313,50.48,Maharashtra
B0572,Rice,963,49.26,Punjab
B0573,Barley,741,38.49,Karnataka
B0574,Sugarcane,993,44.3,Punjab
B0575,Millets,732,35.69,Maharashtra
B0576,Sugarcane,1368,27.09,Tamil Nadu
B0577,Cotton,738,30.69,Kerala
B0578,Maize,445,25.28,Telangana
B0579,Pulses,1211,54.15,Kerala
B0580,Maize,888,53.04,Telangana
B0581,Maize,927,67.53,Tamil Nadu
B0582,Cotton,872,56.48,Telangana
B0583,Sugarcane,1202,22.6,Tamil Nadu
B0584,Sugarcane,98,64.21,Maharashtra
B0585,Rice,838,63.13,Gujarat
B0586,Cotton,342,42.17,Andhra Pradesh
B0587,Rice,585,49.29,Telangana
B0588,Cotton,360,68.8,Tamil Nadu
B0589,Rice,586,46.62,Kerala
B0590,Wheat,688,65.27,Tamil Nadu
B0591,Barley,283,24.15,Kerala
B0592,Maize,1282,29.55,Punjab
B0593,Maize,654,42.04,Telangana
B0594,Millets,143,49.24,Karnataka
B0595,Pulses,376,60.81,Kerala
B0596,Barley,274,69.41,Tamil Nadu
B0597,Sugarcane,1016,39.44,Telangana
B0598,Pulses,939,22.37,Tamil Nadu
B0599,Wheat,60,60.06,Karnataka
B0600,Millets,1402,50.22,Andhra Pradesh
B0601,Pulses,1085,29.93,Gujarat
B0602,Millets,84,44.74,Gujarat
B0603,Maize,496,57.12,Karnataka
B0604,Sugarcane,1293,58.52,Maharashtra
B0605,Wheat,490,44.98,Telangana
B0606,Maize,702,35.26,Karnataka
B0607,Barley,644,68.69,Andhra Pradesh
B0608,Rice,278,53.17,Tamil Nadu
B0609,Cotton,393,40.41,Telangana
B0610,Wheat,1153,34.02,Punjab
B0611,Sugarcane,1426,56.56,Kerala
B0612,Millets,1469,32.11,Karnataka
B0613,Pulses,1363,28.59,Punjab
B0614,Barley,1038,46.49,Punjab
B0615,Pulses,1201,34.5,Andhra Pradesh
B0616,Wheat,958,51.45,Punjab
B0617,Barley,1432,25.9,Karnataka
B0618,Sugarcane,576,52.75,Maharashtra
B0619,Wheat,1386,34.16,Gujarat
B0620,Sugarcane,124,20.01,Gujarat
B0621,Pulses,245,26.35,Telangana
B0622,Maize,78,66.68,Tamil Nadu
B0623,Barley,755,63.37,Andhra Pradesh
B0624,Rice,1070,31.68,Karnataka
B0625,Maize,65,58.92,Telangana
B0626,Rice,1496,50.43,Karnataka
B0627,Pulses,854,68.55,Telangana
B0628,Millets,1478,38.68,Gujarat
B0629,Barley,989,54.07,Punjab
B0630,Maize,1016,23.18,Maharashtra
B0631,Maize,1150,39.81,Karnataka
B0632,Wheat,278,68.19,Maharashtra
B0633,Cotton,1011,46.95,Kerala
B0634,Pulses,1370,34.39,Kerala
B0635,Sugarcane,764,26.01,Punjab
B0636,Pulses,1033,55.18,Gujarat
B0637,Sugarcane,622,52.24,Andhra Pradesh
B0638,Barley,664,38.7,Maharashtra
B0639,Sugarcane,375,67.55,Telangana
