Farmer_ID,Buyer_ID,Crop_Type,Quantity,Rating
F0027,B0156,Sugarcane,1009,3.8
F0942,B1978,Sugarcane,263,3.2
F0802,B1566,Sugarcane,888,3.5
F0801,B1114,Wheat,696,3.2
F0860,B1927,Rice,1017,4.6
F1247,B0679,Millets,779,3.3
F0864,B0351,Maize,649,4.2
F0690,B0069,Rice,841,3.7
F1172,B1187,Rice,89,3.5
F1448,B1266,Rice,801,4.3
F0739,B1519,Sugarcane,1405,3.9
F1375,B1407,Pulses,992,3.8
F1210,B1076,Pulses,697,4.2
F0415,B0654,Sugarcane,231,4.0
F1830,B0063,Maize,314,3.6
F0982,B0509,Maize,820,4.1
F0429,B0292,Maize,912,4.3
F0041,B1115,Millets,481,3.1
F0905,B1688,Pulses,1269,3.9
F1012,B1448,Millets,558,3.1
F1417,B1693,Pulses,496,3.4
F0703,B0821,Rice,577,4.1
F0079,B1389,Sugarcane,1275,4.7
F0717,B0150,Wheat,924,4.8
F1920,B1864,Rice,1206,3.1
F1814,B1295,Cotton,1212,3.8
F1808,B0881,Millets,718,4.2
F0544,B1605,Pulses,896,3.3
F1474,B1140,Rice,119,4.5
F0474,B0704,Sugarcane,865,4.5
F1166,B0516,Cotton,1088,4.8
F1275,B1611,Barley,1285,3.0
F0294,B1938,Millets,1133,3.4
F0610,B1834,Rice,1325,4.7
F0136,B1265,Sugarcane,495,4.3
F0484,B0030,Sugarcane,1075,4.8
F1813,B1167,Pulses,1409,3.1
F1336,B0326,Wheat,68,4.2
F0814,B1719,Rice,610,4.1
F0555,B0949,Sugarcane,1151,3.1
F1656,B0016,Millets,521,4.0
F1756,B0111,Maize,77,4.2
F0046,B0872,Sugarcane,609,3.4
F1260,B0713,Wheat,657,3.5
F1072,B0107,Sugarcane,1238,4.3
F0198,B0379,Pulses,507,3.9
F0084,B0162,Barley,994,4.7
F0543,B0283,Rice,1249,3.7
F1185,B0269,Pulses,1033,3.5
F1452,B0484,Rice,917,5.0
F0071,B0667,Cotton,1065,4.8
F0520,B1097,Rice,78,3.1
F1993,B1221,Cotton,718,4.5
F0898,B1267,Pulses,875,3.2
F0913,B0598,Maize,865,3.1
F1076,B0799,Millets,328,3.5
F1069,B1283,Wheat,332,3.5
F0293,B0798,Maize,1052,4.6
F0938,B1173,Millets,354,4.4
F0812,B1891,Cotton,743,5.0
F1489,B0390,Sugarcane,158,4.4
F1909,B0416,Sugarcane,373,3.8
F1574,B0426,Maize,1279,4.4
F0867,B0997,Sugarcane,1307,5.0
F0380,B1726,Cotton,507,4.4
F1007,B1241,Pulses,1260,4.5
F1767,B1952,Wheat,531,4.9
F1502,B0867,Barley,971,3.2
F0262,B0086,Rice,1480,4.4
F0580,B1240,Cotton,569,4.7
F1203,B0423,Millets,1126,4.9
F0357,B1344,Barley,1471,3.4
F1443,B0118,Cotton,1272,4.0
F0698,B1950,Rice,440,4.4
F1977,B0959,Rice,820,3.5
F1225,B0882,Wheat,962,4.2
F1926,B0992,Wheat,1245,3.5
F1037,B0415,Wheat,135,3.7
F0443,B0599,Sugarcane,607,3.9
F0726,B0040,Millets,907,4.1
F1756,B1185,Millets,1259,3.9
F0286,B0703,Cotton,1229,4.0
F1780,B0537,Pulses,715,3.6
F1892,B0420,Rice,1203,3.3
F1282,B0664,Cotton,892,3.1
F0570,B0095,Barley,1154,3.4
F1572,B1466,Cotton,1457,4.2
F0840,B1959,Millets,344,4.6
F1965,B1582,Wheat,318,3.3
F1514,B0973,Wheat,694,3.2
F0498,B0650,Cotton,584,4.5
F1929,B1490,Millets,1451,3.6
F1918,B0288,Millets,1449,4.9
F0705,B1889,Millets,137,4.4
F1357,B1700,Wheat,974,3.7
F0562,B0412,Millets,160,3.6
F1999,B0400,Sugarcane,633,4.0
F0032,B0528,Rice,1227,3.2
F1634,B1042,Barley,818,3.2
F0043,B0136,Millets,1229,3.4
F1917,B1488,Cotton,1391,4.5
F1375,B0759,Rice,287,4.0
F1358,B1272,Sugarcane,383,3.0
F1846,B0843,Barley,155,4.3
F0559,B0710,Wheat,431,3.8
F0270,B1025,Maize,738,4.0
F1968,B1726,Sugarcane,310,3.4
F1847,B0381,Maize,1366,4.1
F1437,B0509,Rice,1408,5.0
F0943,B1484,Cotton,704,3.1
F1599,B1529,Barley,869,3.6
F1043,B0806,Wheat,758,3.5
F1371,B0476,Barley,525,3.5
F1929,B1581,Sugarcane,1298,3.8
F1637,B0954,Wheat,956,4.6
F0037,B0849,Maize,604,4.8
F1643,B0897,Maize,712,3.4
F0092,B0032,Pulses,1369,4.1
F1844,B1928,Barley,624,4.3
F0185,B0118,Millets,691,4.0
F0728,B1832,Cotton,512,3.9
F1052,B1208,Millets,904,3.4
F1572,B0191,Maize,1287,4.0
F0372,B1771,Cotton,634,3.8
F0832,B1774,Pulses,992,4.6
F1554,B1752,Sugarcane,665,4.5
F0345,B0074,Pulses,207,3.3
F1443,B0623,Cotton,321,3.2
F1220,B1127,Maize,1311,4.8
F0078,B0871,Rice,1376,4.1
F0167,B0586,Cotton,719,4.7
F1114,B0420,Wheat,670,3.1
F0264,B0473,Millets,570,4.1
F1496,B1788,Rice,1394,4.1
F1232,B0114,Barley,108,4.7
F0724,B1403,Cotton,1431,3.2
F1295,B1337,Wheat,753,3.5
F1287,B0330,Millets,697,3.8
F1530,B0339,Barley,1324,4.7
F1809,B0238,Pulses,940,4.9
F0512,B1197,Rice,485,5.0
F1878,B0079,Cotton,195,4.9
F1750,B0464,Sugarcane,908,3.0
F1910,B1922,Pulses,1027,3.1
F0576,B0605,Wheat,1425,3.3
F1548,B1988,Sugarcane,294,3.7
F0722,B1525,Maize,350,4.7
F1336,B0562,Pulses,487,4.8
F1198,B0285,Millets,917,3.4
F0431,B0223,Pulses,149,4.2
F0768,B0593,Millets,774,4.8
F0463,B1290,Cotton,863,3.9
F0101,B1691,Cotton,529,3.2
F1040,B0373,Wheat,464,3.9
F1733,B1257,Pulses,214,3.8
F1282,B0911,Cotton,1375,4.2
F1920,B0828,Maize,1023,3.9
F0244,B0236,Millets,1194,3.0
F1372,B0671,Barley,137,5.0
F1273,B1941,Barley,1290,4.1
F0105,B0828,Barley,622,3.9
F0694,B0763,Cotton,863,4.9
F1691,B1338,Pulses,228,3.3
F1311,B1961,Barley,212,3.4
F1193,B1966,Rice,642,4.6
F1444,B1837,Sugarcane,1055,3.5
F1071,B0380,Pulses,1243,4.6
F1067,B0794,Millets,350,3.5
F1345,B0614,Maize,423,3.1
F0818,B0563,Pulses,757,4.0
F0221,B0420,Maize,252,3.4
F1537,B0052,Pulses,96,4.5
F1736,B1745,Barley,512,4.3
F1465,B0819,Sugarcane,457,4.8
F0144,B1667,Sugarcane,1267,4.6
F0890,B1533,Maize,476,3.4
F1052,B1806,Pulses,979,4.6
F1878,B1969,Sugarcane,366,4.3
F1874,B0205,Wheat,470,4.3
F0790,B1001,Pulses,1342,4.7
F0553,B0731,Sugarcane,312,4.1
F0844,B0257,Rice,1499,3.9
F0659,B0185,Rice,215,4.3
F1881,B0145,Wheat,477,3.6
F1714,B1714,Sugarcane,446,3.4
F1851,B1038,Rice,1289,4.2
F0837,B0246,Barley,845,3.5
F1019,B0187,Pulses,156,3.2
F1954,B1361,Cotton,147,3.0
F1191,B1283,Sugarcane,1303,4.2
F1659,B0866,Millets,1330,3.7
F1610,B0040,Wheat,92,4.5
F0751,B0601,Sugarcane,291,3.8
F0249,B1661,Maize,144,4.0
F0775,B0962,Maize,237,3.8
F0764,B1442,Rice,434,4.3
F1381,B0986,Millets,868,3.7
F1135,B1375,Maize,1473,4.9
F0692,B0009,Wheat,1240,4.9
F1724,B0350,Millets,1198,4.7
F0820,B0084,Rice,136,4.8
F0719,B0533,Wheat,538,3.9
F0234,B0989,Pulses,275,4.1
F0024,B1817,Wheat,394,4.5
F1050,B0358,Maize,567,4.4
F1405,B0378,Pulses,1104,4.8
F1754,B0172,Maize,345,4.4
F1006,B1049,Wheat,463,5.0
F1370,B0393,Maize,184,3.7
F1402,B1127,Millets,574,4.7
F0522,B0702,Maize,1058,4.4
F0017,B1260,Maize,53,4.4
F0245,B1434,Sugarcane,227,3.7
F0718,B1849,Pulses,795,4.6
F0770,B0549,Millets,308,4.8
F1648,B0784,Pulses,701,3.4
F0717,B1829,Barley,1138,4.3
F1563,B0332,Pulses,1436,3.8
F1993,B1688,Barley,1090,5.0
F1607,B0794,Wheat,1273,4.0
F1712,B1556,Barley,593,3.5
F1226,B0649,Barley,1285,3.8
F1272,B0983,Cotton,484,4.3
F0118,B1895,Wheat,1346,3.2
F0009,B1053,Pulses,339,4.2
F0598,B0543,Rice,852,4.9
F0023,B1043,Maize,532,4.7
F1991,B1172,Maize,283,3.1
F0240,B1495,Cotton,457,5.0
F1609,B0491,Rice,743,4.4
F0027,B0283,Sugarcane,1219,3.3
F0984,B0862,Barley,611,3.0
F1885,B1877,Millets,479,3.3
F1105,B1836,Wheat,481,4.7
F1620,B1699,Sugarcane,546,3.0
F0199,B0113,Rice,1032,3.5
F1579,B1479,Cotton,1162,4.5
F0775,B1686,Rice,1046,4.2
F0092,B1354,Cotton,1484,4.6
F0851,B1279,Sugarcane,946,4.5
F1983,B1623,Sugarcane,876,3.1
F1108,B1423,Millets,1314,4.8
F0300,B0862,Rice,827,3.5
F1959,B0610,Rice,272,4.1
F0296,B1933,Barley,517,4.3
F0647,B0508,Maize,618,3.3
F1478,B1668,Cotton,1395,5.0
F1305,B0466,Maize,424,4.0
F1001,B0824,Wheat,1185,3.1
F1083,B1431,Wheat,576,4.9
F0909,B0609,Rice,461,4.2
F0871,B1122,Sugarcane,318,4.4
F1366,B0290,Wheat,675,4.1
F0753,B0868,Wheat,1325,4.7
F1489,B1763,Millets,1061,3.1
F1904,B1681,Maize,1447,3.5
F0342,B1180,Millets,499,3.9
F1634,B0782,Maize,851,3.2
F0062,B0162,Barley,1441,4.4
F0776,B0624,Millets,871,3.8
F0625,B1867,Barley,304,3.5
F1453,B1721,Wheat,1341,3.0
F1682,B0717,Rice,175,4.4
F1752,B1121,Maize,1466,4.7
F0256,B1401,Wheat,811,3.8
F0828,B0567,Sugarcane,848,4.1
F1014,B1474,Maize,1407,3.5
F1852,B0994,Wheat,614,4.2
F1898,B1141,Barley,1441,3.0
F1794,B1629,Millets,505,4.0
F1730,B1829,Cotton,1140,4.3
F1371,B1988,Maize,1139,4.8
F1550,B1740,Cotton,961,3.8
F1328,B1818,Maize,911,4.5
F0615,B1530,Maize,666,4.2
F0245,B1213,Millets,449,4.9
F0757,B1500,Barley,336,3.8
F0824,B1347,Pulses,235,3.6
F0780,B0596,Pulses,333,4.8
F1760,B1994,Cotton,699,3.1
F0732,B1204,Rice,740,3.3
F1847,B1810,Wheat,286,3.2
F1436,B1205,Rice,1091,4.7
F0878,B0959,Rice,864,3.0
F1241,B1717,Pulses,977,4.7
F0516,B1013,Wheat,463,3.9
F0474,B1819,Pulses,58,3.0
F0036,B1311,Millets,469,3.8
F1202,B0475,Millets,78,3.4
F1411,B0618,Pulses,397,4.2
F1793,B0641,Barley,710,4.4
F1041,B0262,Pulses,625,4.0
F1735,B1547,Sugarcane,499,3.1
F0830,B0162,Rice,429,4.3
F1072,B1511,Barley,748,4.7
F1086,B1983,Barley,415,4.4
F1093,B0181,Rice,1300,4.7
F1683,B0725,Barley,1191,3.4
F1895,B0469,Rice,461,4.8
F0366,B1810,Sugarcane,1000,3.6
F1186,B0021,Maize,405,3.0
F1763,B1299,Barley,303,4.7
F0945,B0260,Cotton,776,4.9
F0976,B1357,Cotton,730,4.3
F1512,B0466,Sugarcane,1154,3.5
F0431,B1140,Rice,1119,3.5
F0859,B1437,Cotton,1122,3.9
F1513,B0537,Sugarcane,859,4.8
F0230,B0952,Pulses,1480,3.3
F0370,B1869,Wheat,1356,4.7
F0178,B0766,Cotton,522,3.6
F1881,B0959,Millets,465,4.6
F1434,B1947,Wheat,1028,4.8
F0568,B1980,Millets,649,3.9
F1614,B1747,Rice,1194,3.7
F1294,B1841,Cotton,1076,4.6
F1230,B1857,Sugarcane,1389,4.1
F0793,B0934,Maize,509,4.4
F1764,B0851,Cotton,1300,4.2
F0900,B1972,Cotton,128,3.3
F1775,B1281,Cotton,824,4.7
F0975,B1192,Cotton,1144,3.4
F1824,B1873,Millets,945,4.9
F0082,B0533,Sugarcane,1270,3.5
F0846,B1622,Sugarcane,107,4.5
F0762,B0015,Millets,1497,3.6
F1217,B0050,Maize,673,3.6
F0618,B0999,Sugarcane,97,3.6
F1213,B0304,Sugarcane,1258,4.5
F1300,B1511,Rice,888,4.1
F1098,B0416,Barley,214,4.8
F1034,B0305,Rice,1404,3.6
F1659,B0196,Barley,379,4.4
F0216,B1900,Wheat,1194,4.5
F0290,B0813,Maize,262,3.3
F0445,B0800,Barley,556,3.8
F0923,B0388,Rice,965,4.0
F0552,B0757,Maize,850,3.7
F0193,B1985,Maize,217,3.6
F1663,B1889,Cotton,1044,4.4
F0289,B0455,Pulses,879,3.4
F1988,B0713,Pulses,1045,4.4
F0583,B0705,Pulses,1036,4.9
F1673,B0848,Maize,836,4.1
F1168,B1682,Cotton,476,4.2
F1413,B1334,Wheat,1294,3.1
F1890,B1151,Wheat,1065,4.7
F1916,B0175,Pulses,1083,3.6
F1431,B1158,Wheat,1193,4.2
F1835,B1090,Cotton,1320,5.0
F1394,B1417,Pulses,1433,4.2
F0857,B1988,Barley,1294,4.4
F1465,B1389,Barley,822,3.9
F1971,B0279,Cotton,1131,3.1
F0781,B0758,Millets,1201,4.6
F0896,B0363,Wheat,766,3.1
F0920,B1773,Pulses,135,4.4
F1675,B0171,Barley,153,3.0
F0564,B1075,Cotton,192,4.7
F1553,B1352,Sugarcane,254,3.3
F1701,B1895,Barley,690,4.0
F0013,B0665,Sugarcane,1111,4.2
F1726,B0592,Cotton,1436,3.9
F0987,B0931,Cotton,1382,3.7
F0340,B1169,Rice,1125,3.9
F0865,B0274,Barley,50,3.6
F1898,B1179,Rice,60,3.9
F1888,B1935,Maize,796,3.7
F1800,B0508,Barley,1287,4.1
F0312,B1873,Pulses,1005,3.5
F0733,B0363,Maize,804,5.0
F1128,B1349,Maize,567,4.0
F0339,B0848,Wheat,1488,3.4
F1222,B0655,Sugarcane,1081,4.0
F0300,B0298,Wheat,54,4.7
F1468,B0494,Pulses,1435,3.0
F0359,B0546,Cotton,743,4.4
F1392,B0304,Rice,161,4.1
F0169,B1491,Pulses,1053,3.3
F1173,B0904,Cotton,322,4.6
F0761,B0239,Pulses,471,3.7
F0768,B0650,Cotton,314,3.6
F0982,B1790,Barley,261,4.7
F0042,B1541,Rice,1151,4.3
F0202,B0884,Cotton,831,4.8
F0970,B1200,Maize,715,4.3
F1268,B1909,Pulses,1294,4.5
F1693,B0410,Rice,418,4.7
F0464,B0726,Cotton,1007,3.1
F0449,B1388,Maize,396,4.6
F0913,B1047,Maize,74,4.2
F0798,B0318,Barley,1025,3.1
F0794,B0525,Sugarcane,1493,4.0
F0437,B0905,Maize,1427,3.2
F1917,B1777,Wheat,466,4.5
F1774,B1300,Rice,564,4.1
F0531,B1024,Rice,264,4.9
F0565,B1628,Millets,1185,3.4
F1621,B0620,Rice,1003,4.2
F1297,B0953,Cotton,963,3.4
F1454,B1253,Pulses,477,4.2
F0872,B1688,Cotton,782,4.4
F0213,B1132,Wheat,748,4.4
F0949,B0801,Millets,265,4.6
F1897,B0916,Pulses,462,4.7
F1128,B1980,Barley,429,3.2
F0192,B1200,Maize,281,3.7
F1965,B0320,Millets,884,4.4
F1713,B1310,Cotton,307,4.0
F1683,B0876,Pulses,1329,3.4
F1404,B0329,Maize,452,4.1
F1991,B1901,Pulses,473,3.8
F1105,B0753,Maize,819,3.8
F0705,B0657,Pulses,114,4.6
F0549,B1380,Cotton,239,3.8
F1401,B1038,Millets,999,3.1
F1862,B1299,Cotton,222,3.1
F0154,B0071,Wheat,808,4.7
F1666,B0827,Barley,677,4.9
F0571,B1219,Barley,610,4.4
F1760,B0865,Sugarcane,1300,3.7
F1785,B1836,Rice,1050,4.9
F0240,B0928,Cotton,1461,4.3
F0374,B1903,Cotton,450,4.7
F1925,B1547,Maize,687,4.5
F0805,B0106,Sugarcane,998,3.8
F0799,B0770,Barley,262,4.0
F1228,B0893,Cotton,102,3.4
F0611,B0196,Pulses,673,3.6
F1374,B0145,Barley,801,4.6
F0688,B1756,Sugarcane,711,4.8
F0774,B1374,Rice,188,4.4
F1807,B1448,Pulses,467,3.9
F0143,B0471,Maize,192,3.2
F1213,B1710,Wheat,558,3.1
F0272,B0216,Pulses,699,3.7
F1556,B1117,Millets,535,3.9
F1869,B0260,Barley,1041,4.2
F1324,B0934,Millets,592,3.0
F0426,B0575,Rice,342,5.0
F0046,B1565,Pulses,1357,3.7
F0095,B1811,Sugarcane,720,4.7
F1954,B1883,Sugarcane,887,4.1
F0064,B0285,Rice,1087,3.3
F0413,B0484,Barley,683,4.6
F1667,B1955,Sugarcane,321,4.4
F1033,B0372,Pulses,1098,4.1
F0459,B0070,Wheat,371,4.0
F1739,B0379,Pulses,855,3.2
F1433,B1303,Wheat,1176,4.3
F0470,B1767,Sugarcane,932,4.8
F0810,B0302,Pulses,1113,3.2
F0506,B0255,Sugarcane,284,3.5
F1710,B1708,Barley,881,4.8
F1097,B0944,Wheat,1162,3.6
F0084,B0692,Barley,1173,4.3
F0059,B1288,Sugarcane,193,4.1
F1045,B1719,Cotton,1155,4.2
F1482,B0834,Maize,638,3.8
F0918,B0717,Pulses,278,3.6
F0157,B0424,Cotton,1468,3.1
F1855,B1785,Barley,1270,4.5
F1353,B0213,Millets,323,4.5
F1597,B1695,Sugarcane,639,4.3
F0576,B1968,Sugarcane,702,4.3
F0837,B0100,Maize,632,3.5
F0680,B1853,Sugarcane,1017,3.0
F0203,B1136,Maize,421,4.6
F1665,B0308,Pulses,1153,4.0
F1781,B0678,Wheat,1308,3.6
F1130,B0475,Maize,1360,3.2
F1857,B1572,Maize,868,3.1
F1146,B0112,Cotton,621,3.7
F0318,B1111,Sugarcane,594,4.6
F1206,B0183,Pulses,176,4.8
F1639,B0597,Wheat,782,4.8
F1340,B1805,Rice,466,4.8
F1838,B0165,Barley,687,4.8
F1797,B0815,Maize,90,4.1
F1649,B0090,Rice,836,3.4
F0406,B0455,Sugarcane,346,4.6
F0986,B0238,Barley,91,3.4
F0949,B0534,Maize,681,3.5
F1094,B1703,Millets,1352,3.5
F1184,B0727,Millets,82,4.0
F1264,B0058,Rice,1349,3.6
F1547,B0542,Cotton,714,3.3
F1162,B1938,Rice,1163,3.9
F0495,B1022,Barley,665,4.7
F0679,B0618,Cotton,997,4.1
F1271,B0402,Barley,209,4.8
F1890,B1006,Wheat,507,3.4
F1567,B0842,Sugarcane,448,3.3
F1548,B1703,Millets,1164,4.2
F1267,B1886,Pulses,630,3.9
F1644,B1690,Rice,269,4.3
F1360,B0839,Maize,1492,4.6
F1446,B0519,Barley,428,4.5
F0835,B0197,Barley,979,4.9
F0194,B1857,Sugarcane,1013,3.8
F0308,B0046,Rice,1219,3.4
F1669,B0530,Maize,282,4.1
F1931,B1421,Maize,1444,3.2
F0506,B1689,Barley,971,3.6
F0281,B1000,Pulses,283,3.4
F1827,B0776,Barley,775,3.8
F0675,B0074,Pulses,416,3.2
F1814,B1440,Barley,530,3.1
F0933,B1681,Barley,1436,4.3
F1463,B1638,Maize,639,4.2
F0715,B0335,Pulses,1168,4.4
F0608,B1871,Maize,265,4.3
F0483,B0633,Rice,774,3.2
F1247,B0688,Barley,761,3.6
F1773,B0575,Wheat,1034,3.3
F0117,B0296,Pulses,1208,4.7
F0968,B1108,Cotton,1156,4.5
F0192,B1039,Millets,440,3.4
F0788,B1891,Cotton,1120,3.7
F0618,B1158,Cotton,441,4.9
F0516,B0478,Wheat,767,4.2
F1554,B0633,Maize,434,4.6
F0307,B0319,Maize,430,3.5
F1988,B1416,Millets,1150,3.4
F0532,B0479,Millets,1332,4.6
F0122,B1664,Sugarcane,653,4.4
F0649,B0368,Millets,983,4.4
F0592,B0367,Cotton,448,4.1
F1178,B1312,Cotton,149,4.1
F0870,B1837,Maize,432,4.5
F1561,B0378,Cotton,756,3.5
F1476,B1716,Maize,1265,3.7
F1193,B0463,Barley,1418,4.7
F0059,B1618,Barley,59,3.6
F0301,B0013,Maize,313,4.1
F0553,B0536,Pulses,1341,4.4
F1574,B1192,Maize,881,5.0
F1141,B0270,Rice,679,3.9
F1811,B1995,Rice,811,3.9
F1806,B1094,Rice,244,4.7
F1151,B1342,Rice,611,4.6
F1429,B0376,Wheat,1480,4.5
F0399,B1113,Sugarcane,1369,3.9
F0515,B1725,Sugarcane,146,3.6
F0805,B0257,Maize,511,4.2
F1909,B0217,Barley,807,4.8
F0498,B0450,Cotton,136,4.8
F0942,B0894,Rice,1040,3.2
F0528,B1568,Sugarcane,126,3.9
F0398,B1165,Sugarcane,1219,3.9
F1289,B1185,Rice,710,5.0
F1775,B0032,Barley,1184,4.4
F1287,B1848,Wheat,814,3.8
F1422,B1176,Wheat,727,3.1
F1670,B1883,Millets,1370,4.1
F1749,B1284,Sugarcane,1499,3.2
F1551,B1752,Millets,840,4.7
F0436,B1303,Wheat,1407,4.5
F0840,B1309,Pulses,632,3.9
F1954,B0610,Rice,720,3.9
F0360,B0917,Barley,587,4.8
F1153,B0542,Sugarcane,1235,3.6
F0864,B1626,Rice,479,3.5
F0634,B0148,Wheat,1142,4.9
F1265,B0656,Rice,182,4.6
F1651,B0067,Wheat,238,4.6
F1733,B1969,Barley,622,3.4
F1246,B1893,Wheat,328,3.3
F0214,B0570,Rice,591,3.1
F0916,B1964,Barley,1234,3.5
F0592,B1817,Wheat,795,4.5
F1799,B1303,Millets,948,3.5
F0135,B0748,Pulses,502,4.5
F1842,B0443,Maize,938,3.5
F0754,B0897,Rice,900,3.8
F0386,B1889,Maize,219,5.0
F1327,B0399,Rice,879,3.5
F1806,B1152,Wheat,747,3.8
F1311,B1361,Wheat,1130,3.6
F1586,B0482,Barley,1313,3.2
F1213,B1745,Sugarcane,818,4.0
F1321,B0948,Pulses,407,3.8
F1550,B0186,Millets,250,4.4
F0389,B0169,Sugarcane,493,4.6
F1483,B1708,Maize,876,4.1
F0744,B1284,Wheat,1375,3.1
F1285,B1741,Sugarcane,1179,4.2
F0704,B1988,Wheat,150,3.1
F0925,B1671,Rice,1170,4.2
F1739,B1582,Sugarcane,987,4.4
F0773,B0507,Maize,78,3.4
F1137,B0521,Barley,714,4.6
F1910,B1495,Sugarcane,1452,4.8
F0864,B0161,Wheat,122,4.6
F1060,B1313,Cotton,303,3.6
F0079,B0340,Cotton,565,4.2
F1299,B1924,Barley,798,4.8
F1984,B1857,Barley,1093,3.6
F1302,B1526,Pulses,584,4.6
F0674,B1130,Barley,470,3.0
F0312,B1826,Wheat,495,3.0
F1553,B1499,Millets,928,4.5
F0204,B1877,Rice,185,4.5
F0985,B1624,Sugarcane,1374,4.6
F1976,B1487,Barley,82,4.9
F0017,B1507,Cotton,696,3.2
F1738,B0704,Rice,327,3.5
F0476,B1177,Millets,182,4.8
F1535,B0823,Wheat,799,3.4
F1017,B1673,Rice,175,4.4
F0210,B0785,Wheat,394,4.1
F0499,B1173,Millets,66,3.2
F1426,B1212,Millets,873,3.6
F0429,B1677,Pulses,611,4.0
F1102,B0131,Sugarcane,696,4.7
F1592,B1476,Rice,679,4.4
F1104,B0516,Millets,1451,4.2
F1330,B1515,Sugarcane,867,4.0
F0058,B1500,Rice,109,3.6
F1554,B1287,Wheat,516,3.2
F1232,B1562,Millets,677,3.8
F1535,B1483,Wheat,440,3.1
F1159,B0536,Rice,985,3.4
F1868,B1802,Pulses,734,3.9
F0994,B0741,Wheat,1260,3.8
F0522,B0781,Maize,547,3.1
F0581,B1661,Maize,649,4.2
F1877,B1708,Sugarcane,1434,4.1
F0899,B1770,Barley,498,3.2
F1107,B1319,Maize,729,4.9
F0621,B1939,Maize,1254,3.2
F1068,B1459,Pulses,179,4.7
