Buyer_ID,Farmer_ID,Crop,Match_Score
B0077,F0766,Maize,0.595
B0077,F1868,Cotton,0.592
B0078,F1557,Wheat,0.96
B0078,F0088,Rice,0.599
B0078,F0737,Sugarcane,0.599
B0078,F1433,Pulses,0.599
B0078,F0761,Sugarcane,0.598
B0079,F1878,Wheat,0.884
B0079,F1909,Wheat,0.846
B0079,F0375,Rice,0.599
B0079,F0749,Rice,0.599
B0079,F1537,Rice,0.599
B0080,F1495,Pulses,0.599
B0080,F1628,Rice,0.599
B0080,F0259,Millets,0.599
B0080,F0973,Rice,0.598
B0080,F1625,Pulses,0.598
B0081,F1544,Cotton,0.598
B0081,F1413,Cotton,0.597
B0081,F1173,Maize,0.596
B0081,F1844,Maize,0.596
B0081,F0739,Cotton,0.595
B0082,F1671,Pulses,0.74
B0082,F0700,Maize,0.599
B0082,F1346,Maize,0.599
B0082,F0905,Maize,0.599
B0082,F1707,Maize,0.597
B0083,F1082,Cotton,0.599
B0083,F1620,Cotton,0.597
B0083,F0469,Cotton,0.597
B0083,F1664,Maize,0.597
B0083,F1201,Cotton,0.596
B0084,F0820,Rice,0.942
B0084,F1906,Wheat,0.6
B0084,F0344,Wheat,0.599
B0084,F0266,Wheat,0.599
B0084,F1961,Wheat,0.599
B0085,F1190,Millets,0.864
B0085,F0332,Rice,0.775
B0085,F0373,Wheat,0.599
B0085,F1097,Wheat,0.599
B0085,F1284,Rice,0.597
B0086,F0262,Pulses,0.649
B0086,F0652,Millets,0.6
B0086,F0970,Maize,0.599
B0086,F1440,Maize,0.598
B0086,F1752,Millets,0.598
B0087,F0748,Barley,0.865
B0087,F1389,Barley,0.766
B0087,F1266,Maize,0.6
B0087,F1471,Cotton,0.599
B0087,F1580,Maize,0.599
B0088,F0329,Millets,0.904
B0088,F1914,Pulses,0.599
B0088,F1226,Pulses,0.599
B0088,F1361,Pulses,0.599
B0088,F1091,Sugarcane,0.598
B0089,F0510,Wheat,0.6
B0089,F0104,Sugarcane,0.599
B0089,F1027,Wheat,0.595
B0089,F1112,Rice,0.594
B0089,F0421,Wheat,0.594
B0090,F0439,Barley,0.787
B0090,F1649,Rice,0.714
B0090,F0356,Barley,0.599
B0090,F1703,Barley,0.596
B0090,F0946,Barley,0.595
B0091,F1104,Rice,0.6
B0091,F0554,Sugarcane,0.6
B0091,F1148,Wheat,0.6
B0091,F1835,Sugarcane,0.599
B0091,F0512,Wheat,0.598
B0092,F0348,Sugarcane,0.731
B0092,F0540,Wheat,0.599
B0092,F0197,Wheat,0.599
B0092,F0145,Millets,0.597
B0092,F0315,Maize,0.595
B0093,F0133,Rice,0.652
B0093,F1973,Maize,0.598
B0093,F1665,Maize,0.595
B0093,F0485,Cotton,0.595
B0093,F0036,Cotton,0.594
B0094,F1571,Wheat,0.599
B0094,F0287,Rice,0.598
B0094,F0566,Wheat,0.597
B0094,F0949,Pulses,0.597
B0094,F1909,Wheat,0.597
B0095,F1478,Millets,0.866
B0095,F1501,Maize,0.861
B0095,F0570,Barley,0.688
B0095,F0267,Sugarcane,0.6
B0095,F1774,Sugarcane,0.6
B0096,F0487,Maize,0.72
B0096,F1095,Wheat,0.6
B0096,F1474,Wheat,0.6
B0096,F0342,Sugarcane,0.599
B0096,F0069,Sugarcane,0.599
B0097,F1173,Maize,0.872
B0097,F1069,Cotton,0.598
B0097,F1162,Cotton,0.598
B0097,F1046,Maize,0.597
B0097,F1463,Cotton,0.596
B0098,F0469,Cotton,0.598
B0098,F1082,Cotton,0.597
B0098,F1981,Cotton,0.596
B0098,F0706,Cotton,0.596
B0098,F1043,Barley,0.593
B0099,F0518,Pulses,0.905
B0099,F1179,Barley,0.631
B0099,F0902,Sugarcane,0.6
B0099,F1687,Sugarcane,0.6
B0099,F1293,Sugarcane,0.6
B0100,F0412,Millets,0.924
B0100,F0837,Maize,0.798
B0100,F0531,Rice,0.788
B0100,F0757,Wheat,0.6
B0100,F0833,Maize,0.6
B0101,F1593,Sugarcane,0.597
B0101,F1909,Wheat,0.596
B0101,F1140,Rice,0.596
B0101,F1086,Rice,0.596
B0101,F0987,Sugarcane,0.595
B0102,F0829,Barley,0.599
B0102,F1818,Barley,0.599
B0102,F0855,Barley,0.599
B0102,F1685,Barley,0.599
B0102,F1775,Barley,0.598
B0103,F1964,Wheat,0.737
B0103,F0337,Cotton,0.599
B0103,F1020,Cotton,0.599
B0103,F1928,Maize,0.598
B0103,F0984,Cotton,0.598
B0104,F0191,Barley,0.6
B0104,F1500,Barley,0.6
B0104,F0314,Barley,0.599
B0104,F1871,Barley,0.599
B0104,F1068,Barley,0.599
B0105,F1169,Maize,0.818
B0105,F0072,Wheat,0.6
B0105,F0530,Wheat,0.599
B0105,F0342,Sugarcane,0.598
B0105,F1850,Wheat,0.598
B0106,F0805,Pulses,0.77
B0106,F1184,Sugarcane,0.599
B0106,F0026,Pulses,0.599
B0106,F0685,Rice,0.597
B0106,F0233,Sugarcane,0.597
B0107,F1072,Wheat,0.861
B0107,F1937,Maize,0.6
B0107,F0608,Millets,0.598
B0107,F0329,Millets,0.597
B0107,F0053,Maize,0.597
B0108,F1650,Wheat,0.599
B0108,F1908,Rice,0.599
B0108,F0028,Wheat,0.598
B0108,F1168,Pulses,0.598
B0108,F0941,Sugarcane,0.597
B0109,F0148,Maize,0.86
B0109,F0474,Sugarcane,0.6
B0109,F0445,Sugarcane,0.599
B0109,F1319,Wheat,0.599
B0109,F1964,Wheat,0.598
B0110,F0547,Cotton,0.854
B0110,F0496,Barley,0.599
B0110,F1267,Barley,0.598
B0110,F0787,Barley,0.598
B0110,F0284,Barley,0.598
B0111,F0390,Rice,0.923
B0111,F1756,Millets,0.9
B0111,F0493,Rice,0.598
B0111,F1780,Millets,0.597
B0111,F1478,Millets,0.597
B0112,F1146,Pulses,0.844
B0112,F1619,Pulses,0.598
B0112,F1736,Millets,0.598
B0112,F1612,Pulses,0.597
B0112,F1105,Pulses,0.597
B0113,F0199,Cotton,0.867
B0113,F1947,Rice,0.6
B0113,F0634,Rice,0.599
B0113,F1045,Pulses,0.599
B0113,F0802,Pulses,0.598
B0114,F1232,Millets,0.946
B0114,F0493,Rice,0.6
B0114,F1780,Millets,0.599
B0114,F0888,Pulses,0.599
B0114,F0109,Pulses,0.598
B0115,F1919,Maize,0.703
B0115,F1937,Maize,0.599
B0115,F0329,Millets,0.598
B0115,F0303,Maize,0.598
B0115,F0608,Millets,0.598
B0116,F1501,Maize,0.919
B0116,F1301,Barley,0.598
B0116,F0683,Barley,0.597
B0116,F0356,Barley,0.595
B0116,F1487,Barley,0.595
B0117,F1814,Cotton,0.938
B0117,F1952,Maize,0.599
B0117,F1347,Maize,0.599
B0117,F0999,Millets,0.599
B0117,F1795,Millets,0.599
B0118,F0185,Rice,0.703
B0118,F1443,Sugarcane,0.693
B0118,F0254,Cotton,0.599
B0118,F0132,Cotton,0.595
B0118,F0881,Cotton,0.593
B0119,F0303,Maize,0.867
B0119,F0031,Cotton,0.599
B0119,F1926,Cotton,0.599
B0119,F0726,Cotton,0.598
B0119,F0462,Cotton,0.598
B0120,F0415,Maize,0.599
B0120,F1973,Maize,0.598
B0120,F1894,Maize,0.598
B0120,F1789,Cotton,0.597
B0120,F0154,Maize,0.597
B0121,F0990,Millets,0.942
B0121,F1239,Rice,0.6
B0121,F0302,Rice,0.599
B0121,F1895,Rice,0.599
B0121,F0033,Sugarcane,0.599
B0122,F0904,Barley,0.635
B0122,F0028,Wheat,0.599
B0122,F0498,Sugarcane,0.599
B0122,F1319,Wheat,0.598
B0122,F1939,Wheat,0.598
B0123,F0485,Cotton,0.595
B0123,F1965,Cotton,0.59
B0123,F0036,Cotton,0.588
B0123,F1973,Maize,0.587
B0123,F0322,Cotton,0.587
B0124,F1782,Millets,0.598
B0124,F0933,Rice,0.598
B0124,F0631,Rice,0.598
B0124,F1429,Pulses,0.598
B0124,F1455,Rice,0.597
B0125,F1062,Cotton,0.6
B0125,F0553,Cotton,0.6
B0125,F1070,Cotton,0.599
B0125,F1205,Cotton,0.599
B0125,F0014,Maize,0.598
B0126,F0213,Cotton,0.928
B0126,F1662,Maize,0.6
B0126,F0519,Millets,0.599
B0126,F0047,Millets,0.599
B0126,F0027,Pulses,0.599
B0127,F0351,Sugarcane,0.599
B0127,F1160,Sugarcane,0.599
B0127,F1545,Millets,0.598
B0127,F0281,Sugarcane,0.596
B0127,F1148,Wheat,0.596
B0128,F1950,Barley,0.598
B0128,F1527,Barley,0.597
B0128,F0201,Barley,0.595
B0128,F1389,Barley,0.595
B0128,F1889,Barley,0.595
B0129,F0156,Wheat,0.905
B0129,F0686,Pulses,0.876
B0129,F1134,Barley,0.767
B0129,F1213,Wheat,0.6
B0129,F1601,Millets,0.599
B0130,F0735,Wheat,0.845
B0130,F0029,Millets,0.6
B0130,F1851,Maize,0.598
B0130,F1929,Millets,0.598
B0130,F1246,Millets,0.597
B0131,F1102,Wheat,0.71
B0131,F0860,Barley,0.6
B0131,F1424,Barley,0.6
B0131,F0195,Barley,0.6
B0131,F1799,Barley,0.6
B0132,F0161,Barley,0.598
B0132,F0168,Barley,0.596
B0132,F0790,Barley,0.595
B0132,F1527,Barley,0.594
B0132,F0776,Cotton,0.592
B0133,F0128,Rice,0.862
B0133,F0550,Barley,0.699
B0133,F1678,Maize,0.657
B0133,F0076,Wheat,0.599
B0133,F1271,Wheat,0.599
B0134,F1337,Maize,0.937
B0134,F0737,Sugarcane,0.599
B0134,F1036,Wheat,0.599
B0134,F0198,Sugarcane,0.598
B0134,F1312,Wheat,0.598
B0135,F0802,Pulses,0.599
B0135,F1045,Pulses,0.598
B0135,F1689,Rice,0.598
B0135,F1573,Pulses,0.598
B0135,F1731,Pulses,0.597
B0136,F0050,Pulses,0.806
B0136,F0043,Wheat,0.781
B0136,F0487,Maize,0.599
B0136,F1567,Cotton,0.598
B0136,F0967,Cotton,0.597
B0137,F1492,Barley,0.6
B0137,F1486,Barley,0.599
B0137,F1267,Barley,0.599
B0137,F0922,Barley,0.599
B0137,F0965,Barley,0.598
B0138,F1671,Pulses,0.81
B0138,F1485,Barley,0.6
B0138,F0924,Barley,0.6
B0138,F0124,Barley,0.599
B0138,F1626,Barley,0.599
B0139,F1812,Rice,0.8
B0139,F0302,Rice,0.664
B0139,F0440,Maize,0.6
B0139,F1785,Maize,0.6
B0139,F0057,Millets,0.599
B0140,F0234,Sugarcane,0.6
B0140,F0935,Millets,0.6
B0140,F0887,Rice,0.599
B0140,F0278,Pulses,0.599
B0140,F0803,Rice,0.599
B0141,F1482,Cotton,0.598
B0141,F0343,Maize,0.598
B0141,F1922,Cotton,0.597
B0141,F1732,Maize,0.597
B0141,F0020,Maize,0.596
B0142,F0028,Wheat,0.599
B0142,F1168,Pulses,0.599
B0142,F0224,Sugarcane,0.598
B0142,F1370,Wheat,0.598
B0142,F1650,Wheat,0.598
B0143,F0217,Sugarcane,0.874
B0143,F0046,Sugarcane,0.6
B0143,F1004,Rice,0.6
B0143,F1145,Sugarcane,0.6
B0143,F1671,Pulses,0.6
B0144,F1103,Sugarcane,0.599
B0144,F0225,Wheat,0.599
B0144,F1535,Maize,0.599
B0144,F0636,Wheat,0.599
B0144,F0378,Rice,0.599
B0145,F1374,Wheat,0.921
B0145,F1881,Pulses,0.813
B0145,F1711,Cotton,0.6
B0145,F0360,Maize,0.599
B0145,F1776,Millets,0.598
B0146,F0875,Wheat,0.599
B0146,F1459,Pulses,0.599
B0146,F0351,Sugarcane,0.599
B0146,F1668,Rice,0.598
B0146,F1823,Sugarcane,0.598
B0147,F0803,Rice,0.82
B0147,F1097,Wheat,0.599
B0147,F1712,Rice,0.597
B0147,F2000,Rice,0.597
B0147,F0684,Sugarcane,0.596
B0148,F0634,Rice,0.858
B0148,F1965,Cotton,0.597
B0148,F1524,Cotton,0.595
B0148,F1251,Barley,0.593
B0148,F1245,Barley,0.593
B0149,F0125,Cotton,0.876
B0149,F0288,Cotton,0.599
B0149,F0495,Cotton,0.596
B0149,F1524,Cotton,0.594
B0149,F0469,Cotton,0.594
B0150,F0717,Maize,0.895
B0150,F0241,Wheat,0.6
B0150,F0505,Barley,0.6
B0150,F0062,Barley,0.598
B0150,F1493,Barley,0.598
B0151,F0752,Cotton,0.598
B0151,F0840,Cotton,0.598
B0151,F0705,Cotton,0.598
B0151,F0880,Cotton,0.598
B0151,F0385,Cotton,0.597
B0152,F1151,Cotton,0.6
B0152,F1972,Cotton,0.6
B0152,F1534,Cotton,0.599
B0152,F0881,Cotton,0.594
B0152,F0411,Maize,0.593
B0153,F1741,Millets,0.838
B0153,F1660,Millets,0.599
B0153,F0610,Millets,0.599
B0153,F1706,Millets,0.599
B0153,F0649,Millets,0.599
B0154,F1972,Cotton,0.599
B0154,F0881,Cotton,0.598
B0154,F1151,Cotton,0.598
B0154,F1534,Cotton,0.595
B0154,F0588,Maize,0.593
B0155,F0619,Barley,0.768
B0155,F1704,Maize,0.6
B0155,F1322,Maize,0.599
B0155,F1011,Cotton,0.599
B0155,F0666,Cotton,0.599
B0156,F0027,Pulses,0.859
B0156,F1903,Rice,0.599
B0156,F0033,Sugarcane,0.599
B0156,F1181,Pulses,0.599
B0156,F0545,Rice,0.599
B0157,F1973,Maize,0.6
B0157,F1894,Maize,0.597
B0157,F1789,Cotton,0.597
B0157,F0415,Maize,0.596
B0157,F0456,Maize,0.595
B0158,F1060,Sugarcane,0.661
B0158,F1301,Barley,0.598
B0158,F1477,Barley,0.598
B0158,F1360,Barley,0.597
B0158,F0569,Barley,0.596
B0159,F1643,Cotton,0.836
B0159,F1625,Pulses,0.6
B0159,F1628,Rice,0.599
B0159,F0038,Rice,0.599
B0159,F0457,Pulses,0.598
B0160,F0003,Cotton,0.6
B0160,F0230,Cotton,0.599
B0160,F0471,Cotton,0.599
B0160,F0654,Cotton,0.599
B0160,F1890,Cotton,0.598
B0161,F0031,Cotton,0.927
B0161,F0864,Wheat,0.831
B0161,F1111,Rice,0.737
B0161,F1493,Barley,0.6
B0161,F1636,Barley,0.6
B0162,F1480,Millets,0.919
B0162,F0084,Millets,0.905
B0162,F0830,Millets,0.897
B0162,F0062,Barley,0.777
B0162,F0881,Cotton,0.597
B0163,F1592,Maize,0.599
B0163,F1110,Maize,0.597
B0163,F0955,Maize,0.597
B0163,F1342,Millets,0.597
B0163,F0608,Millets,0.597
B0164,F0838,Cotton,0.748
B0164,F1547,Millets,0.6
B0164,F0747,Maize,0.599
B0164,F0782,Maize,0.599
B0164,F1325,Cotton,0.599
B0165,F1838,Sugarcane,0.904
B0165,F1868,Cotton,0.679
B0165,F1981,Cotton,0.6
B0165,F1082,Cotton,0.596
B0165,F1201,Cotton,0.596
B0166,F0079,Barley,0.6
B0166,F1398,Barley,0.6
B0166,F1698,Barley,0.599
B0166,F0760,Barley,0.599
B0166,F1703,Barley,0.599
B0167,F1005,Rice,0.6
B0167,F1125,Pulses,0.599
B0167,F1615,Pulses,0.599
